plateifu	first_data	vlass_data	mangaid	objra	objdec	z_1	ra	dec	z_2	flux	lum	Mr01	NYU_mstar	is_agn	selection	ref	GAU	ELPETRO_TH50_R
8313-12702	1	1	1-248388	240.6774191	41.19726098	0.0333433	240.6773885	41.19725503	0.033347	15.4	22.594	-20.557007	9.95310375	0	0	L10	1	9.437059
8314-12701	1	1	1-569214	240.7559389	39.64526293	0.0309273	240.755911	39.64527229	0.0310836	11	22.386	-20.66006	10.05667332	0	0	L10	0	12.174384
8314-6104	1	1	1-248661	244.0021758	39.49763259	0.136843	244.0021414	39.49760638	0.1368498	15.5	23.877	-21.51513	10.87001035	1	1	L10	0	3.7133558
8315-12705	1	1	1-322787	235.9204881	39.54035712	0.0634711	235.9204767	39.5403573	0.0634818	3.4	22.514	-21.023008	10.30405645	0	0	L10	1	6.1562877
8317-6102	1	1	1-259537	194.9250265	43.75317966	0.0578109	194.925023	43.75320446	0.0577953	5.7	22.653	-21.629223	10.76579408	0	0	L10	1	5.8338943
8317-6103	1	1	1-259368	193.2701986	44.96034823	0.105905	193.2701746	44.96035208	0.1059154	18.6	23.718	-21.54845	10.86495461	1	1	L10	1	10.363188
8319-3703	1	1	1-234362	201.2833031	48.3445058	0.0688838	201.283328	48.3444993	0.068895	3.2	22.561	-21.104864	10.53332122	0	0	L10	1	3.7891693
8320-9101	1	1	1-523050	206.3138528	23.31651269	0.0296935	206.31384	23.31653	0.02969	6.2	22.096	-19.472006	9.463062725	0	0	B12	1	8.001718
8322-3701	1	1	1-419028	199.0664818	30.26453157	0.0491864	199.066471	30.26451465	0.0491726	8.2	22.666	-21.418972	10.46835853	0	0	L10	0	4.9949803
8324-6104	1	1	1-575726	198.9589039	46.33883	0.0573434	198.9589166	46.33880514	0.0569821	5.8	22.648	-20.552538	10.45604439	0	0	L10	0	3.918995
8328-6101	1	1	1-286287	209.1503244	44.94165018	0.12497	209.150301	44.94168314	0.1249587	7.8	23.494	-21.904285	11.00614153	0	0	L10	0	6.749811
8328-9101	1	1	1-286277	208.5497553	44.20802863	0.064365	208.549738	44.20805469	0.0643511	3.1	22.486	-20.725048	10.36940665	0	0	L10	0	5.076412
