plateifu	first_data	vlass_data	mangaid	objra	objdec	z_1	ra	dec	z_2	flux	lum	Mr01	NYU_mstar	is_agn	selection	ref	GAU	ELPETRO_TH50_R
8717-6103	1	1	1-121737	118.2913067	35.93252027	0.113369	118.2913011	35.9325323	0.1133728	101.1	24.516	-21.801834	10.93993575	1	1	L10	1	3.6519709
8718-12702	1	1	1-44379	120.7007065	45.03455353	0.038928	120.7007007	45.03454395	0.0389181	3.4	22.075	-20.604292	10.35819429	0	0	L10	1	6.531848
8718-3701	1	1	1-44113	120.2064094	44.69117049	0.102312	120.2063535	44.69118374	0.1023261	3.9	23.008	-22.090214	11.08806329	1	0	L10	1	4.2330904
8719-6103	1	1	1-351474	119.6234847	47.65311846	0.0599654	119.6234482	47.65319828	0.0599695	3.6	22.487	-21.673998	10.73462148	0	0	L10	1	6.153459
8721-9102	1	1	1-48760	135.7964381	54.06432745	0.0831283	135.7963647	54.0644329	0.0831372	79.4	24.127	-22.122057	11.09798045	1	1	L10	1	6.856788
8722-12701	1	1	1-46349	125.531886	49.00304568	0.0942849	125.5318542	49.00312736	0.0942836	4.6	23.004	-22.007149	11.05350059	1	0	L10	0	8.56174
8722-6102	1	1	1-548300	124.3272752	51.07973075	0.0721737	124.3271976	51.07978837	0.0719955	39.2	23.689	-21.786938	10.95602959	0	0	L10	0	6.1374917
8722-9102	1	1	1-548302	127.8903017	50.50934194	0.0959524	127.8902826	50.50941795	0.0966975	41.4	23.982	-21.554014	10.86394741	0	0	L10	0	4.5841103
8723-9102	1	1	1-352827	126.8788498	54.90469389	0.0305248	126.8787259	54.90474145	0.0305135	10.9	22.365	-20.975264	10.64872847	0	0	L10	0	7.8437753
8724-12703	1	1	1-48053	132.5950161	55.37874173	0.0307551	132.5949249	55.37882512	0.0307639	20	22.636	-21.243723	10.74923046	1	0	L10	1	8.267086
8726-1902	1	1	1-217854	117.5776559	23.17823	0.10178	117.5776476	23.17824518	0.101775	13.2	23.532	-22.312426	11.17576584	1	1	L10	1	5.101565
8728-12703	1	1	1-51949	58.05243826	-6.348944523	0.0329443	58.05242665	-6.348957749	0.0329599	12.5	22.493	-21.846853	10.98260961	0	0	L10	1	11.645037
8932-9102	1	1	1-457236	196.6517091	27.87294607	0.0209379	196.651635	27.87296	0.02094	7.5	21.8705	-18.947515	9.642755934	0	0	B12	1	8.166149
8934-3701	1	1	1-456772	194.02549	27.67798	0.0164833	194.02542	27.67811	0.01648	6.9	21.6237	-18.273628	9.061750061	0	0	B12	1	#N/A
8936-12702	1	1	1-152720	116.6353037	30.49074813	0.0570368	116.6352642	30.49074553	0.0570346	16.3	23.098	-21.371819	10.79692743	1	0	L10	1	8.379941
8938-6103	1	1	1-201742	119.7915042	29.78106673	0.105226	119.7914946	29.78104069	0.1052424	14.6	23.607	-21.7185	10.92910592	1	1	L10	1	3.1650481
8940-12702	1	1	1-163966	120.0874176	26.6135273	0.0267379	120.087452	26.61352748	0.0267241	10.2	22.219	-21.098795	10.61404655	0	0	L10	0	7.551123
8940-1902	1	1	1-218041	120.9871293	25.48072169	0.0727756	120.9871248	25.48070564	0.0727768	3.5	22.65	-21.14467	10.59599647	0	0	L10	1	2.145511
8943-3703	1	1	1-394326	158.1318043	36.36706962	0.126537	158.1317383	36.36707962	0.1265252	4.5	23.266	-21.863651	10.99150789	1	0	L10	1	2.9081583
8943-3704	1	1	1-394382	157.6506663	35.91660825	0.123521	157.6507613	35.91661459	0.1235028	54.7	24.329	-22.455109	11.23410982	1	1	L10	1	3.9779103
8945-3704	1	1	1-280053	175.1972999	46.54049241	0.0535883	175.1973046	46.54050464	0.053581	14.9	23.003	-22.244404	11.15038786	1	0	L10	1	10.106268
8945-6103	1	1	1-279329	171.244627	47.14351028	0.0537137	171.2446622	47.1435239	0.0537277	10.5	22.853	-21.193876	10.69505138	0	0	L10	1	6.999603
8946-12703	1	1	1-279314	171.0133231	47.97076153	0.140497	171.013373	47.97079353	0.1405099	28.5	24.166	-21.599825	10.86442364	1	1	L10	1	6.772006
8946-1902	1	1	1-613755	169.300369	46.85987323	0.0607855	169.3003505	46.85989024	0.0607979	4.4	22.587	-21.684488	10.86699362	0	0	L10	1	4.4155254
8946-9102	1	1	1-279252	170.1421557	46.82450442	0.053523	170.1421671	46.8245138	0.0535341	3.8	22.409	-21.45664	10.83317097	0	0	L10	1	7.7395506
8947-12704	1	1	1-149147	171.1026539	51.23494063	0.0271346	171.1026451	51.23500512	0.0271404	4.4	21.868	-20.808512	10.4635738	0	0	L10	1	8.941435
8947-9101	1	1	1-149200	168.7345056	50.33487297	0.047134	168.7345041	50.33495192	0.0471381	3.9	22.306	-21.192505	10.43777389	0	0	L10	1	7.7412186
8948-1902	1	1	1-173903	166.3119351	49.65890856	0.116572	166.3119444	49.65890454	0.1165831	6.2	23.33	-21.77365	10.93304327	1	1	L10	1	2.1215885
8952-12704	1	1	1-626979	205.2357699	26.48671942	0.0750178	205.2356566	26.48670579	0.0750098	26	23.548	-21.627537	10.90895367	1	1	L10	1	8.537995
8952-6101	1	1	1-627041	205.460227	26.37029924	0.0694202	205.4601787	26.37028236	0.0694182	299.4	24.539	-21.90338	11.01370513	1	1	L10	1	5.625877
8977-6103	1	1	1-604824	116.7539488	34.30028473	0.0615687	116.7539431	34.30029139	0.0615706	3.6	22.511	-21.491606	10.62022878	0	0	L10	1	6.4568815
8979-3702	1	1	1-210135	241.370315	42.62721055	0.039392	241.3703173	42.62722211	0.0393913	3.4	22.086	-21.151382	10.5791238	0	0	L10	1	8.862302
8979-9102	1	1	1-210547	243.8303045	42.0376366	0.138583	243.830327	42.03764525	0.1385855	6.4	23.504	-21.725517	10.88007367	1	1	L10	1	4.655279
8981-12701	1	1	1-404012	187.447727	36.68211463	0.144796	187.4477195	36.6821227	0.1447938	3	23.216	-21.956593	10.97793913	1	0	L10	0	11.04614
8982-3703	1	1	1-458092	203.190094	26.58037567	0.0470053	203.19009	26.58037	0.04701	21.2	23.0387	-18.349516	9.241936326	0	0	B12	1	1.2235148
8982-6104	1	1	1-626502	203.0570626	26.94998106	0.0352905	203.05704	26.94996	0.03529	6.9	22.2956	-20.150831	10.19935464	0	0	B12	1	6.2251315
8983-12704	1	1	1-568627	205.4547109	26.37348219	0.075452	205.4547109	26.37348219	0.0694182	23.4	23.432	-22.312046	11.11171035	0	0	L10	1	16.639566
8984-12705	1	1	1-458137	204.353485	27.41921852	0.0365577	204.35346	27.41921	0.03656	7.6	22.369	-21.42195	10.65843048	0	0	B12	1	10.781459
8984-6102	1	1	1-457816	201.900563	27.13801302	0.143482	201.9005739	27.13802789	0.1434922	34.6	24.27	-22.275127	11.14879116	1	1	L10	1	5.7846413
8988-6102	1	1	1-397613	186.2511944	40.15731182	0.0735606	186.2511963	40.15732712	0.0735678	12.9	23.226	-21.770834	10.89104406	0	0	L10	0	5.592689
8988-6104	1	1	1-590142	186.9085576	40.16048935	0.0371091	186.9085702	40.16047671	0.0369105	18.9	22.773	-20.953617	10.30051244	0	0	L10	0	5.802201
8989-12703	1	1	1-150227	177.271668	51.58221367	0.129618	177.271668	51.58221366	0.1296249	7.9	23.533	-21.900858	11.01438133	1	1	L10	1	5.778942
8989-6103	1	1	1-576172	174.993505	51.1513446	0.128867	174.9935454	51.15145166	0.1280502	45.4	24.281	-21.866728	10.9865953	0	0	L10	1	3.5740743
8990-12702	1	1	1-576106	173.4967852	49.06202874	0.0316278	173.4967876	49.0621329	0.0316247	854.2	24.291	-21.59187	10.88821653	1	1	L10	1	14.60379
8991-3702	1	1	1-188749	176.2771789	53.64796274	0.0690135	176.2771253	53.64806807	0.0690258	147.8	24.227	-21.937523	11.01307873	1	1	L10	1	7.994624
8991-9102	1	1	1-150397	178.3774237	52.68945085	0.071639	178.3773777	52.68951552	0.0716304	23	23.453	-21.782791	10.95789854	1	1	L10	1	7.9442573
8993-12701	1	1	1-612080	164.8639457	46.12238958	0.0221653	164.8639761	46.12237615	0.0221845	4.3	21.68	-21.022816	10.59625332	0	0	L10	1	25.446125
8994-6102	1	1	1-148512	159.301171	50.12056814	0.0463065	159.3011545	50.12067326	0.0463195	6.3	22.498	-21.905714	11.00599758	0	0	L10	0	14.256568
8995-12703	1	1	1-188888	177.8061358	55.11643294	0.0793586	177.8060964	55.11651209	0.0793555	3.72	22.755	-21.677732	10.89939947	0	0	L10	1	10.834138
8995-6103	1	1	1-188545	175.5446884	55.45825235	0.13339	175.5446713	55.45832658	0.133391	25.3	24.065	-21.96571	11.03048546	1	1	L10	1	3.8441944
8996-3702	1	1	1-187429	172.3306157	54.12608477	0.0688748	172.33059	54.12615904	0.0688751	21.8	23.394	-21.665684	10.91893675	1	1	L10	1	4.4671497
8997-12704	1	1	1-149454	170.162775	52.62504119	0.0483296	170.162821	52.62509361	0.0483078	3.7	22.305	-21.602411	10.88441112	0	0	L10	1	11.315568
8999-3702	1	1	1-576235	163.4338762	49.4988685	0.140443	163.4338674	49.49889848	0.1404283	64.1	24.517	-22.358253	11.17001553	1	1	L10	1	4.7648654
9001-12701	1	1	1-148841	167.245551	50.34833376	0.115636	167.2454617	50.34843485	0.115635	4.6	23.192	-22.298126	11.15333795	1	0	L10	0	7.9856443
9002-12703	1	1	1-314374	223.9928741	32.62572171	0.0841691	223.9928604	32.6257157	0.0841688	107.4	24.269	-21.079487	10.68808235	1	1	L10	0	13.885239
9002-3703	1	1	1-314484	222.8101367	32.37819452	0.0883005	222.8101254	32.37820134	0.0882987	5	22.981	-21.268618	10.7344944	1	0	L10	1	5.6314754
9002-9101	1	1	1-373327	222.9762711	31.28014378	0.0886369	222.9762727	31.28013456	0.088637	22.8	23.643	-21.456982	10.82635448	1	1	L10	1	3.2824376
9024-12705	1	1	1-314409	223.8674592	32.84002812	0.0601609	223.8674234	32.84000769	0.0601617	7.3	22.797	-21.353477	10.54876792	0	0	L10	1	8.713186
9024-1901	1	1	1-314028	222.4537642	33.85745571	0.0879591	222.4537703	33.85744788	0.0879487	122.9	24.368	-21.128052	10.66373798	1	1	L10	1	3.5184844
9025-12701	1	1	1-269031	244.6464956	29.81731615	0.0610476	244.6464857	29.81728468	0.0610417	6	22.725	-20.557846	10.26812094	1	0	L10	1	7.7464094
9025-9101	1	1	1-272088	245.1297113	29.89102425	0.0960166	245.1296489	29.8910188	0.0960083	4.7	23.03	-22.281765	11.00575961	1	0	L10	1	10.189956
9026-12704	1	1	1-94765	249.2746462	44.26975344	0.0579626	249.2746336	44.26973034	0.0579556	4.1	22.513	-21.209232	10.73358996	1	0	L10	1	9.20931
9027-12701	1	1	1-272287	243.9359214	31.96395516	0.0315467	243.9359008	31.96394642	0.0315489	5.9	22.128	-21.123486	10.39513278	0	0	L10	1	10.6446705
9027-3701	1	1	1-272400	246.0359189	30.9524879	0.0603349	246.0358951	30.95249023	0.0603536	3.6	22.493	-20.840357	10.32983502	0	0	L10	1	2.3899045
9028-3701	1	1	1-269500	243.3753094	29.14339094	0.0782437	243.3753023	29.14338627	0.0782262	3.3	22.69	-21.853958	10.98869494	0	0	L10	1	4.657467
9029-12702	1	1	1-135093	247.2517211	41.28426488	0.0318872	247.2517015	41.28427812	0.0318867	3	21.844	-20.970173	10.49618542	0	0	L10	1	10.963458
9030-12705	1	1	1-269102	243.1779084	29.9013384	0.0533616	243.1778818	29.90132421	0.0533887	39.7	23.425	-21.282682	10.77296715	1	1	L10	0	10.620505
9030-3702	1	1	1-268822	241.2341735	30.5257756	0.0553681	241.2341732	30.52576077	0.0553732	3.7	22.427	-20.581362	10.23127485	0	0	L10	0	2.9661572
9030-3703	1	1	1-561331	243.2373365	30.77071975	0.0494999	243.2373406	30.77072577	0.0495168	4.8	22.44	-21.227545	10.7533475	0	0	L10	0	6.7826924
9030-3704	1	1	1-269099	243.1618584	29.64359387	0.0320821	243.1618385	29.6435845	0.0320731	27.2	22.807	-20.71259	10.54472366	1	0	L10	0	4.339597
9030-9102	1	1	1-272178	243.5713581	30.99946876	0.0617207	243.571374	30.9994614	0.0617199	6	22.735	-20.674223	10.3988053	0	0	L10	0	4.4166594
9031-3704	1	1	1-209772	239.9749498	44.70899009	0.04173	239.9749479	44.7089971	0.0417438	59.4	23.38	-20.837421	10.58216655	1	1	L10	1	5.0282955
9031-9102	1	1	1-209706	241.3981514	44.20612557	0.0445011	241.3981818	44.20614104	0.0445194	70.9	23.514	-21.594332	10.86217127	1	1	L10	1	7.2378435
9032-3704	1	1	1-268826	241.215606	30.52601178	0.0553966	241.2155875	30.52600923	0.055403	3.4	22.391	-20.653503	10.26876813	0	0	L10	0	2.8729513
9032-6102	1	1	1-268789	241.5150779	30.65023673	0.0593434	241.5150599	30.6502266	0.0593513	7.2	22.779	-20.653833	10.50192355	1	0	L10	0	3.270916
9033-12705	1	1	1-576436	224.0181831	45.40526587	0.0361875	224.0182025	45.40527327	0.036168	7	22.324	-21.060545	10.3631956	0	0	L10	1	13.410157
9033-6104	1	1	1-198395	224.0203687	47.45345368	0.0871908	224.0203895	47.4534617	0.0871793	220.4	24.613	-22.131926	11.11045752	1	1	L10	1	5.6001906
9034-6104	1	1	1-198501	226.0925514	47.68668272	0.093357	226.0925774	47.68668768	0.0933575	12.2	23.419	-22.0774	11.05937318	1	1	L10	1	6.6455846
9035-9101	1	1	1-247861	235.4470058	45.55600081	0.036696	235.4470004	45.55602011	0.0366974	8.9	22.441	-20.92174	10.62024277	1	0	L10	1	7.4563704
9037-6104	1	1	1-247713	236.2134821	43.51405675	0.0366431	236.2134811	43.51406747	0.0366475	11.4	22.547	-21.393732	10.80901757	1	0	L10	1	5.7494125
9038-12702	1	1	1-199742	237.409348	42.03421156	0.0331128	237.4093817	42.0342099	0.033107	3.2	21.905	-21.40334	10.82149511	0	0	L10	1	8.939788
9038-6101	1	1	1-248055	238.7580386	41.57832972	0.0335628	238.7580489	41.57833873	0.0335708	47.4	23.088	-21.572546	10.88399815	1	0	L10	0	13.991583
9039-12703	1	1	1-263104	228.9786646	34.72955835	0.110895	228.9786652	34.72953691	0.1109173	51.9	24.206	-21.863613	10.96716228	1	1	L10	1	9.46289
9040-3701	1	1	1-269740	245.5362932	27.34844112	0.0944109	245.5362912	27.34842427	0.0944306	6.6	23.163	-22.270885	11.12597532	1	0	L10	0	5.192674
9041-12701	1	1	1-264513	236.9415121	28.64169761	0.0332619	236.9415019	28.64170655	0.0332595	16.2	22.614	-21.485634	10.40265753	0	0	L10	1	13.918472
9041-3701	1	1	1-316933	235.5401497	28.25695826	0.115776	235.5401416	28.25696222	0.1157738	7.3	23.394	-22.223429	11.13483136	1	1	L10	1	4.6108103
9041-9102	1	1	1-633219	235.941919	28.41521164	0.0327509	235.9419084	28.41524181	0.0327535	4.3	22.024	-20.515476	10.12162922	0	0	L10	1	8.300376
9042-1901	1	1	1-375364	233.1864494	28.06313826	0.0729896	233.18643	28.06314	0.07299	327.6	24.6237	-20.113482	10.2983467	1	0	B12	1	1.5150458
9042-3702	1	1	1-316385	232.5428259	29.00839523	0.0841925	232.5428192	29.0083925	0.0842034	258.3	24.65	-21.965778	11.03435125	1	1	L10	1	4.814869
9042-9101	1	1	1-316402	233.1940911	28.36706959	0.0721096	233.1940705	28.36706321	0.0721056	3.8	22.677	-21.673515	10.80940943	0	0	L10	1	7.891426
9043-12703	1	1	1-632641	231.27392	29.67017	0.111541	231.2738591	29.67012223	0.111408	81.2	24.405	-21.904692	11.00927197	1	1	L10	1	#N/A
9043-3704	1	1	1-374514	230.903167	28.64307479	0.084046	230.90313	28.64309	0.08405	58.5	24.0038	-21.925966	11.02472059	1	1	B12	1	5.7285786
9044-3702	1	1	1-315063	229.437392	31.0043845	0.135897	229.4373707	31.00439944	0.1358802	52.8	24.402	-21.937666	10.98392731	1	1	L10	1	2.7483325
9044-3704	1	1	1-316138	230.8616302	31.06626795	0.0747467	230.8616154	31.06628318	0.074755	12.5	23.227	-21.76406	10.95380393	1	0	L10	1	4.3639565
9044-6104	1	1	1-632410	230.3932314	30.72057381	0.0784411	230.3932068	30.72057101	0.0804235	65.9	24.015	-22.113743	11.09039781	0	0	L10	1	6.705009
9045-12705	1	1	1-374107	228.2370545	30.3045227	0.110159	228.23703	30.30453	0.11016	97	24.4716	-22.05879	11.07016533	1	1	B12	1	9.17358
9045-3701	1	1	1-315134	228.0232423	30.83983532	0.0896324	228.0232236	30.83985359	0.0896423	103	24.308	-22.264086	11.14915375	1	1	L10	1	6.3907294
9045-3703	1	1	1-632035	228.353657	30.95841254	0.0716997	228.3536486	30.95843989	0.0712588	3.2	22.592	-21.780962	10.76452169	0	0	L10	1	5.1056776
9047-12701	1	1	1-296190	245.441961	25.82067799	0.0479823	245.4419593	25.82068105	0.04799	9	22.685	-21.468218	10.8298347	1	0	L10	1	16.69123
9047-12704	1	1	1-295355	246.7109833	25.8911971	0.110115	246.7109647	25.89119097	0.110134	7.9	23.382	-21.659021	10.89092795	1	1	L10	1	10.5264435
9047-1901	1	1	1-295721	245.8074685	26.47929526	0.0644593	245.8074134	26.47930246	0.0644584	8.8	22.94	-21.422441	10.80170111	1	0	L10	1	3.7868423
9047-6102	1	1	1-633981	247.1922157	25.49472099	0.0400737	247.1922134	25.49470083	0.0400842	25.2	22.971	-21.056293	10.67138317	1	0	L10	1	6.5951214
9047-6103	1	1	1-270072	247.5124981	25.79413385	0.132226	247.5125097	25.79411781	0.1322352	5.1	23.362	-21.689241	10.90781863	1	1	L10	1	3.3461506
9047-6104	1	1	1-270129	248.1408785	26.38073961	0.0586143	248.1408494	26.38072293	0.0586047	9	22.864	-21.54191	10.8109297	0	0	L10	1	6.6662483
9048-3703	1	1	1-295303	246.1722368	25.32823523	0.128491	246.1722303	25.32821424	0.1285003	9.2	23.591	-21.8763	10.95021706	1	1	L10	1	5.2433705
9048-3704	1	1	1-295367	246.0981398	25.13011894	0.0960285	246.0981118	25.13011788	0.0960213	12.6	23.459	-21.751635	10.95528209	1	1	L10	1	5.2479286
9049-1901	1	1	1-269632	247.560973	26.20647356	0.131457	247.5609687	26.20646897	0.1314478	6.8	23.481	-22.238806	11.00240851	0	0	L10	1	3.5783517
9050-3704	1	1	1-318725	245.9950036	22.39336727	0.0370079	245.9949945	22.39336147	0.0370066	10	22.499	-20.809105	10.25805371	0	0	L10	1	4.9433675
9088-6103	1	0	1-265801	242.808817	26.92340272	0.0319268	242.8088108	26.92340354	0.0319298	103.7	23.384	-21.416569	10.80166224	1	1	L10	1	15.599043
9089-12701	1	1	1-376168	240.4782341	24.15091007	0.0629325	240.4781903	24.15087738	0.0629127	3.5	22.518	-21.10217	10.27386341	0	0	L10	0	5.4396
9089-12702	1	1	1-318105	241.2978732	24.96011688	0.0337829	241.2978377	24.96011834	0.0337784	5.8	22.181	-20.674664	10.20701924	0	0	L10	0	9.463705
9089-6104	1	1	1-317809	241.0039205	25.95539795	0.0485758	241.0038961	25.95540765	0.0485659	6.1	22.527	-21.525986	10.73699219	0	0	L10	0	7.2149024
9090-12701	1	1	1-561324	243.6183554	28.29193016	0.106808	243.6183558	28.29194403	0.1060608	423.7	25.077	-21.691114	10.92457997	0	0	L10	0	2.681431
9090-9102	1	1	1-296801	243.0733938	28.42955087	0.0531379	243.0734215	28.42956937	0.0531639	76.7	23.707	-21.553041	10.8706533	1	1	L10	0	8.189577
9091-12704	1	1	1-633683	241.8662186	27.56976637	0.0655344	241.8661993	27.56977912	0.0655909	7.9	22.909	-21.454952	10.76933383	0	0	L10	0	7.8653884
9091-3702	1	1	1-317791	240.3341353	26.07755316	0.0878464	240.3341105	26.07757087	0.0878625	77.2	24.165	-20.752075	10.55752354	1	0	L10	0	2.6674252
9091-6102	1	1	1-633545	240.957265	26.54209397	0.0487173	240.9572233	26.54207511	0.0487208	3.1	22.236	-21.514746	10.85826937	1	0	L10	0	5.850538
9092-3703	1	1	1-317471	239.9650637	25.9406524	0.0446581	239.9650435	25.94063562	0.0446677	29.2	23.132	-21.09812	10.69317782	1	0	L10	0	4.9203696
9092-6101	1	1	1-318034	240.6876691	25.25218889	0.0481138	240.687644	25.25217709	0.0481074	4.8	22.414	-21.329762	10.68193333	0	0	L10	0	6.6974273
9092-6104	1	1	1-559150	239.6892785	26.64766547	0.086101	239.6892911	26.64766387	0.0874748	13.9	23.416	-21.814524	10.97644128	0	0	L10	0	5.5630603
9093-12703	1	1	1-296766	242.0881207	28.47868347	0.0501824	242.0881056	28.47868606	0.0501754	249.1	24.167	-21.256819	10.76625353	1	1	L10	0	10.359918
9093-12705	1	1	1-594273	242.4063394	28.05184258	0.0327961	242.4063474	28.05185283	0.0326004	10	22.386	-20.721325	10.22706815	0	0	L10	0	8.480024
9094-1902	1	1	1-265404	239.7102787	27.39008258	0.0935275	239.7102619	27.39006596	0.093488	14.7	23.501	-21.658348	10.40052499	0	0	L10	0	3.242478
9094-9101	1	1	1-317695	239.7193903	26.43862255	0.0873412	239.7193842	26.43860267	0.0873286	52.3	23.99	-22.387295	11.2584263	1	1	L10	0	7.940475
9181-12701	1	1	1-71950	118.5709466	38.2208939	0.117955	118.5709488	38.22087697	0.1179621	5.3	23.272	-21.340548	10.79436954	1	0	L10	1	5.0167265
9181-12702	1	1	1-71872	119.6171275	37.78662456	0.0408246	119.617129	37.78661815	0.040841	2717.9	25.021	-22.296637	11.16636218	1	1	L10	1	16.31909
9181-12703	1	1	1-71976	118.654435	39.17992753	0.0960224	118.6544322	39.17994443	0.0960263	57.6	24.119	-21.790203	10.94359105	1	1	L10	1	6.7849913
9181-12704	1	1	1-71953	118.3820153	38.73329553	0.0408082	118.3820159	38.73329791	0.0408138	5.3	22.31	-21.493734	10.84826874	0	0	L10	1	9.856119
9182-12701	1	1	1-71891	119.5533053	38.53531435	0.0955307	119.5533087	38.53530409	0.0955489	31.1	23.847	-22.424953	11.22621162	1	1	L10	1	8.547068
9182-3704	1	1	1-72166	121.52962	39.34241023	0.0645574	121.5296039	39.34243172	0.0645513	10.7	23.027	-21.560762	10.87700851	1	0	L10	1	4.5800056
9182-6102	1	1	1-71987	119.4863374	39.99336516	0.0657771	119.4863497	39.99337145	0.0657733	99.5	24.012	-20.942308	10.51475366	1	1	L10	1	3.5656629
9183-3701	1	1	44-50	119.967968	38.24004317	0.078837	119.9679687	38.24004317	0.078837	415.7	24.797	-20.505865	10.23552728	0	0	L10	1	#N/A
9185-9101	1	1	1-634515	256.2122825	34.81733371	0.0563626	256.2122745	34.81732274	0.0563584	9	22.829	-20.666542	10.37693427	0	0	L10	1	7.3232036
9186-6103	1	1	1-634665	258.1184986	30.90967808	0.054692	258.1184639	30.90965648	0.0546869	5.8	22.611	-21.607378	10.78550331	0	0	L10	0	6.906622
9187-6101	1	1	1-96483	312.1961179	-6.994372533	0.041727	312.1961186	-6.994390073	0.0417524	3.8	22.186	-21.043829	10.63622986	0	0	L10	0	5.6107802
9187-9101	1	1	1-96448	311.3127012	-5.6227278	0.0273256	311.3126962	-5.622752472	0.0273326	3.7	21.799	-20.663658	10.09193062	0	0	L10	0	15.799255
9188-1901	1	1	1-51001	48.15470618	-7.572847504	0.0359661	48.15471626	-7.572854997	0.0359665	12.9	22.584	-21.102497	10.49853039	0	0	L10	0	3.6243165
9189-12704	1	1	1-51329	51.29825982	-6.180946401	0.033669	51.29824058	-6.180969397	0.0336748	24.8	22.81	-21.585253	10.61766167	0	0	L10	0	10.201669
9189-9102	1	1	1-51315	51.01051847	-5.934396143	0.0370497	51.01049005	-5.934412894	0.0370578	5	22.199	-20.924532	10.25164991	0	0	L10	0	7.0199604
9191-12702	1	1	1-635330	313.0932536	0.075715084	0.0302434	313.093255	0.075722816	0.030247	3.4	21.852	-21.031393	10.54754687	0	0	L10	0	10.821519
9191-6103	1	1	1-376993	312.9092368	-0.055866767	0.107683	312.9092368	-0.055866767	0.1076935	252.7	24.867	-22.516876	11.25183249	1	1	L10	0	6.6505203
9192-12704	1	1	1-37601	46.28574285	0.343443043	0.0435936	46.28572653	0.343425417	0.0435892	6.9	22.484	-21.208307	10.35337221	0	0	L10	0	8.671888
9192-12705	1	1	1-293356	46.57226704	-0.140035246	0.109617	46.5722673	-0.140013659	0.1096335	20.8	23.798	-21.683048	10.91381261	1	1	L10	0	11.2589445
9192-6103	1	1	1-37568	45.97047861	0.415262277	0.0429988	45.97048172	0.415233375	0.042989	9.3	22.601	-21.773252	10.94514167	1	0	L10	0	7.254217
9193-12705	1	1	1-37388	46.33244272	-0.970712839	0.0448852	46.33241182	-0.970701673	0.0448925	11.3	22.724	-20.988459	10.65059611	0	0	L10	1	11.813257
9195-6104	0	1	1-603028	28.96658701	14.94027565	0.0438183	28.96660267	14.94027595	0.0438149	7.6	22.53	-21.129066	10.42730083	0	0	L10	1	5.6361275
9484-12705	1	1	1-153116	120.8705998	33.46239172	0.0393408	120.8706127	33.46239166	0.0393169	17.9	22.806	-21.506588	10.75008173	0	0	L10	0	7.94341
9485-12705	1	1	1-153627	121.7799375	36.23347854	0.0323135	121.7799431	36.23348184	0.0323076	4.8	22.06	-20.90061	10.4714437	0	0	L10	1	6.5414047
9485-1901	1	1	1-122002	120.7780319	37.02355744	0.0712221	120.778012	37.02356208	0.0712138	4.7	22.758	-21.243265	10.4873346	0	0	L10	1	2.2439673
9485-9101	1	1	1-71516	119.1073548	37.05824732	0.0774518	119.1073397	37.05824731	0.077437	205	24.474	-21.632717	10.91400915	1	1	L10	1	7.1245894
9490-9102	1	1	1-383319	122.5609906	20.20726621	0.12471	122.560974	20.20725166	0.1247084	8.4	23.524	-22.281988	11.14561344	1	1	L10	1	7.2777357
9491-6101	1	1	1-382712	119.1743774	17.99116842	0.0412448	119.174363	17.99118218	0.0412441	13.8	22.735	-21.026672	10.18600675	0	0	L10	1	5.6879582
9494-9101	1	1	1-384872	127.3603364	22.74340731	0.0872938	127.3603286	22.74341302	0.0872927	161.5	24.479	-21.573364	10.87638678	1	1	L10	1	5.1488724
9498-3701	1	1	1-217733	117.8373544	22.50417067	0.0755951	117.8373653	22.50415525	0.0756012	6.4	22.946	-21.761478	10.96468952	0	0	L10	0	4.587534
9502-9101	1	1	1-605311	128.3419311	25.10492532	0.0866	128.3419282	25.10492176	0.0854837	5.3	22.976	-21.749886	10.9348192	0	0	L10	1	7.006113
9503-12701	1	1	1-229731	119.9728317	23.39008331	0.029143	119.9728553	23.39006712	0.0291344	22.1	22.631	-21.097734	10.64556054	0	0	L10	0	8.442444
9503-6103	1	1	1-217999	120.8188621	24.67677681	0.04292	120.8188441	24.67677597	0.0429266	137.8	23.77	-20.758286	10.5575293	1	0	L10	0	6.360977
9506-3701	1	1	1-605531	133.5699045	27.26652628	0.0637792	133.5698934	27.26653159	0.0637821	8.1	22.895	-21.682013	10.66093187	0	0	L10	1	4.3320084
9506-3704	1	1	1-386212	134.6447367	26.21175124	0.0850858	134.6446996	26.21174291	0.0850865	13.9	23.391	-21.82105	10.96673154	1	1	L10	1	5.1618814
9506-6103	1	1	1-385935	132.7873202	27.35590297	0.119807	132.7873225	27.35588799	0.1198455	55.8	24.309	-22.311821	11.16732435	1	1	L10	1	5.7532926
9508-12704	1	1	1-298938	127.1059539	26.39737016	0.0808831	127.1059219	26.39735024	0.0808799	3.6	22.758	-21.343046	10.57156739	0	0	L10	1	5.9719963
9511-9102	1	1	1-76534	129.9125601	2.574095339	0.112884	129.912558	2.574084001	0.1128823	97.4	24.496	-22.375202	11.17229079	1	1	L10	0	7.0460534
9514-6101	0	1	1-42141	31.3690038	13.25161588	0.0246943	31.36900882	13.25162675	0.0259179	12.1	22.266	-21.359354	10.82210717	0	0	L10	0	16.814058
9864-12702	1	1	1-576470	213.9703693	50.32379955	0.0739611	213.9703789	50.32385305	0.0738793	3.5	22.663	-21.897251	11.00139927	0	0	L10	1	9.903549
