plateifu,rad,kPAkin,kPAerr,k51,k51err,kPAks,pn
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
10214-3703,2.4739,14.16137198,1.393806248,0.022658584,0.032049334,12.00009333,67
10216-9101,3.535135,83.86289432,11.85074405,0.086273727,0.131532346,58.5000675,142
10493-6103,3.398495,81.47794284,4.893681902,0.176653749,0.227069934,100.5000442,117
10494-12702,6.8598,47.47219569,1.021875261,0.349555482,0.146124997,97.00004611,416
10496-6104,7.1018,171.3731423,1.926011733,1.166021536,0.230571489,114.0000367,474
10498-3702,3.492665,91.290498,1.875624452,0.026978349,0.045421903,63.50006472,133
10498-6102,1.9339,169.0252446,19.3004354,0.069553123,0.146013286,168.5000064,39
10499-12702,6.6404,167.4772547,5.509157455,4.080266793,7.564696634,161.0000106,410
10502-12702,2.48101,73.88869896,4.289916389,0.032898296,0.028231243,76.5000575,69
10503-9101,4.1461,9.6485887,51.41952706,0.213640993,0.104386973,86.50005194,148
10510-6104,3.343985,152.1305837,0.866976896,0.011149313,0.011649333,149.0000172,79
10510-9102,3.88954,179.7913695,0.666532536,0.023512213,0.005754485,178.0000011,131
10513-12701,4.680815,16.41945929,1.34257909,0.038167438,0.033214953,6.500096389,240
10841-12704,4.2447575,44.78761915,1.743752611,0.056943839,0.049184579,48.00007333,183
11010-3704,1.5261264,50.86014872,17.51172642,0.025757296,0.072669334,56.00006889,23
11011-9102,5.354247,151.0400637,2.014720124,0.720419767,0.282261805,147.0000183,299
11020-9101,3.84760665,52.79128189,3.058598422,0.202900971,0.140002809,100.5000442,159
11024-6103,4.603544,40.40805395,1.140477844,0.19826166,0.052919251,21.50008806,139
11747-12704,5.9225135,162.1569506,1.85715295,0.292187104,0.057123422,22.00008778,406
11749-3702,2.6490102,124.3960453,2.022351056,0.003088503,0.024554082,131.5000269,79
11755-3701,2.54932735,51.72689853,1.036328678,0.030708883,0.029204958,61.00006611,66
11761-9102,8.826365,154.9643164,3.827902065,0.340929237,0.09175146,141.0000217,653
11823-12705,3.47130275,29.87845495,3.539165592,0.244771635,0.0873538,67.00006278,131
11827-12703,3.3973665,35.6947198,1.770383049,0.079934085,0.08581717,166.5000075,91
11827-3702,2.5486338,79.20791049,2.719004913,0.017078806,0.013985764,89.50005028,57
11838-6104,4.100638,37.45872878,3.245573289,0.521581497,0.186655835,172.0000044,173
11863-6101,2.67599,9.263183378,3.59512393,0.042394987,0.050775983,0.0001,79
11872-12701,4.869811,113.8877744,1.504983247,0.032052593,0.035707674,103.5000425,256
11947-3701,2.5612173,102.6237912,8.58780201,0.377478783,0.312754334,131.5000269,70
11960-9102,3.565426,119.596097,1.929654721,0.010097602,0.026788388,117.5000347,116
11963-3703,1.5434414,12.74610757,12.75051235,0.610655334,1.33620126,68.00006222,27
11983-12703,4.64824,172.3574745,1.310240955,0.274608283,0.170042806,121.5000325,221
12073-9102,5.8153065,126.7613832,1.61184514,0.217249934,0.024767335,111.0000383,327
12084-9101,8.5146075,42.02326498,0.876179368,0.029857999,0.02103187,36.50007972,660
12089-3701,4.894723,77.43713768,2.822403519,0.049482245,0.044861009,75.00005833,235
12093-12702,8.407955,37.43455364,0.759350751,0.712701254,0.157713861,80.50005528,773
12624-6103,3.0787437,169.1284225,7.502322733,0.139672326,0.135500983,15.50009139,93
12651-12703,8.420245,98.94392151,1.526650761,0.223634292,0.121541294,169.5000058,492
12675-12705,4.1307215,44.8001473,0.838949067,0.032420506,0.06234621,27.000085,190
12682-3704,1.6423619,20.10704691,2.232545977,0.039342698,0.039083095,16.00009111,33
12700-1901,1.1170813,179.4741635,4.320148552,0.057660387,0.073177033,171.5000047,11
7960-9102,3.72854,18.21605071,6.727537402,0.201628929,0.103028507,21.00008833,113
7975-3702,2.16414,16.97907754,2.470613893,0.009745242,0.010467455,16.00009111,49
7981-12702,4.20584,98.00717271,2.304742387,0.418334864,0.183754529,92.50004861,201
7981-12705,4.56462,99.91499427,1.372187227,0.1377433,0.064080603,72.50005972,168
8075-12704,4.342275,28.80339974,1.872316719,0.160897466,0.124246808,87.00005167,185
8075-9101,3.92853,160.534456,7.567509232,3.039507435,3.078041742,25.00008611,165
8089-3702,2.17599,6.549500266,9.627804757,0.346245342,0.416460865,110.5000386,51
8089-3704,2.264245,77.4941716,2.331736621,0.020650723,0.01914052,79.00005611,51
8095-6101,3.24104,18.1550763,1.570267369,0.035695462,0.055270252,42.50007639,53
8131-12705,2.64312,88.64331157,5.804363279,0.156888709,0.220785532,97.00004611,79
8132-9102,3.46633,104.4624834,2.153958935,0.050661048,0.018089245,104.5000419,143
8145-12702,5.7595,71.7163158,1.30809549,0.041749321,0.025699514,71.00006056,293
8154-3702,2.200865,3.92158332,1.396725949,0.018072697,0.015629496,5.500096944,51
8158-6103,3.224285,96.52206196,1.813906916,0.02291445,0.041894624,103.0000428,111
8239-12701,2.73255,157.7188671,1.437230674,0.03454214,0.062831078,165.5000081,67
8240-12703,4.034,178.3668392,3.081412325,0.591266684,0.2534689,150.0000167,129
8244-6103,2.96983,6.024302705,10.03953866,0.061522574,0.078489884,4.5000975,81
8245-3703,5.6216,136.958591,1.890705972,3.507028442,6.823471196,15.50009139,236
8247-9102,3.726585,18.67952794,1.060028369,0.687314084,0.228685135,41.00007722,167
8254-6101,2.019415,152.5618582,16.04676969,0.057975355,0.118946802,152.5000153,41
8314-6104,1.85668,148.5186569,3.115139536,0.027748948,0.025201123,151.5000158,37
8333-3704,2.41922,137.6619898,2.008989629,0.027958246,0.013108135,140.0000222,61
8333-6103,2.054985,172.3435193,9.565316332,0.09523423,0.214758954,25.00008611,48
8438-12703,2.94071,156.156974,8.246101656,0.030168167,0.0903233,156.0000133,88
8447-6103,3.001095,147.5757877,2.418586299,0.028437328,0.021416624,150.5000164,107
8450-3701,2.19782,125.866687,6.098204246,0.10154628,0.152437775,105.5000414,51
8479-12705,9,44.36718705,6.293325443,0.135677388,0.039179084,5.500096944,1006
8479-9101,7.75,65.44402043,3.075573236,0.134015239,0.040917619,47.50007361,735
8481-3702,3.84821,35.45363848,1.304585531,0.051036726,0.02321837,40.5000775,167
8554-6102,2.675735,63.22145285,5.66568334,0.053168656,0.169784049,87.00005167,69
8554-6103,3.112075,34.9318066,27.24560377,0.120066832,0.131622308,58.5000675,99
8555-12704,3.556235,66.04152355,4.222078664,0.016237125,0.126020496,27.50008472,106
8555-6103,3.314645,134.9310863,6.040407438,0.114025127,0.104628012,15.00009167,111
8566-12701,3.11462,86.20942688,3.359886186,0.180174925,0.086970521,48.50007306,96
8591-6102,2.883775,111.8967861,3.285360032,0.252972624,0.386027584,39.00007833,94
8592-12703,2.536655,16.5708893,3.627661746,1.022250352,1.565278165,79.00005611,71
8593-3704,2.614895,25.04793579,0.602147982,0.006307847,0.011648266,28.50008417,59
8593-6102,1.805945,86.87546575,6.94821421,0.096441254,0.133201243,104.5000419,37
8598-6101,1.65283,160.8181281,10.65327621,0.510490177,0.639432945,50.50007194,31
8600-9101,3.51186,151.2731051,28.87201525,0.096577813,0.112640121,36.50007972,93
8603-6101,7.97715,30.09502727,83.52875453,0.167471525,0.112537574,75.00005833,566
8614-12701,6.9176,19.68121253,3.951269925,0.197953255,0.106600538,3.500098056,432
8615-12703,3.943845,54.25017887,7.165190339,0.050907812,0.061995228,60.50006639,143
8615-12704,3.799325,130.2448617,2.101423049,0.393832179,0.194113935,41.50007694,121
8626-6101,3.286775,71.67511684,1.764725835,0.081946358,0.055555023,80.00005556,115
8655-9101,3.5188,7.981727318,4.240984062,0.113645626,0.237832696,143.5000203,87
8714-3704,2.43126,119.8499092,3.805795348,0.038554337,0.010188203,112.0000378,69
8714-6103,3.717495,53.77994105,24.45271228,0.030218916,0.049768282,76.00005778,155
8715-3701,2.4857,37.02914134,0.721546148,0.066044117,0.026819123,38.50007861,69
8717-1901,3.4911,110.4413386,3.8917844,0.09073721,0.334582587,127.5000292,113
8717-6103,1.825985,37.65280866,2.990823382,0.014458448,0.047282197,35.50008028,31
8721-9102,3.428395,169.535435,15.24881395,0.596875598,0.710974894,77.50005694,135
8722-6102,3.068745,36.26936897,3.392273946,0.206187255,0.0931262,51.00007167,103
8943-3704,1.988955,168.0686588,5.37373183,0.003291908,0.032232583,167.5000069,45
8946-12703,3.386005,8.004412461,1.423117059,0.228002616,0.079001541,11.00009389,121
8979-9102,2.32764,123.3666928,4.585780931,1.0326121,1.929153104,5.500096944,39
8984-6102,2.89232,102.8200212,2.881717128,0.077990265,0.062089169,85.5000525,91
8990-12702,7.3019,46.8019279,1.580467279,0.230417751,0.058132744,4.000097778,568
8991-3702,3.99731,173.1637891,1.112405618,0.062284171,0.022215585,3.000098333,143
8994-6102,7.1283,73.81061666,2.244253447,0.382508577,0.179986381,5.000097222,461
8995-12703,5.41705,107.2760335,1.483687556,0.126096474,0.064517678,138.5000231,324
8995-6103,1.922095,148.5640392,6.451317727,0.002695974,0.073536787,142.0000211,39
9002-12703,6.9426,100.2573545,1.302084355,1.423698619,0.956958094,40.00007778,398
9024-1901,1.75924,156.3973747,13.25864529,0.07016077,0.086278512,146.0000189,37
9030-12705,5.31025,55.4470085,4.647145516,0.146706962,0.095857693,151.5000158,299
9031-9102,3.61892,42.31045187,2.180540609,0.044142768,0.023697377,38.00007889,101
9033-6104,2.800095,145.1142647,6.805924361,0.5229504,0.187687749,137.0000239,83
9034-6104,3.32279,113.862344,0.7203686,0.032060605,0.01449937,110.0000389,113
9039-12703,4.731445,149.5291385,1.709257615,0.23461679,0.058242587,161.5000103,186
9042-1901,0.757525,135.4776294,15.78780526,0.015230993,0.100341866,143.5000203,9
9042-3702,2.407435,133.3967792,10.43439106,0.03916776,0.052518914,137.0000239,64
9043-12703,5.86705,169.9407974,1.68293323,0.140325682,0.210826051,153.5000147,323
9043-3704,2.86429,179.2534209,5.068201963,0.020770463,0.026849921,178.0000011,98
9044-3702,1.374165,174.2597598,4.485670287,0.011450206,0.033381108,176.5000019,21
9044-6104,3.352505,12.76379661,2.814244288,0.170583665,0.083684339,4.5000975,105
9045-12705,4.58679,108,2.987204329,0.064841413,0.063310902,105.0000417,198
9045-3701,3.195365,22.2168472,0.515338485,0.019116295,0.008347379,21.50008806,103
9088-6103,7.7995,106.5967666,5.602846712,0.647875631,0.457547194,142.0000211,678
9090-12701,1.340715,60.6888206,12.87223797,0.006453711,0.19881029,59.50006694,21
9091-3702,1.333715,96.64517484,60.61989404,0.140089011,0.544912661,111.5000381,17
9092-6104,2.78153,38.10493278,2.953912852,0.233796777,0.238871451,89.00005056,73
9093-12703,5.17995,51.63728348,3.762827993,0.174043981,0.08106741,56.00006889,219
9094-9101,3.970235,51.04596359,3.008044338,0.050434574,0.011872784,53.00007056,151
9181-12702,8.15955,55.56254849,1.276236024,0.086676049,0.034873859,69.50006139,617
9182-12701,4.273535,173.8497957,0.584863982,0.046403191,0.016044844,171.5000047,160
9183-3701,5.25,68.64182616,1.368476593,1.295311103,1.782852033,85.5000525,349
9191-6103,3.32526,158.445514,1.732268209,0.017677109,0.051344029,14.50009194,120
9192-6103,3.62711,106.6907456,5.029481318,0.837748801,0.32971553,70.00006111,145
9485-9101,3.562295,90.09456565,2.453591747,0.256515875,0.074783155,119.0000339,130
9494-9101,2.574435,18.22359914,12.3430173,0.085510702,0.047870113,18.50008972,56
9503-6103,3.18049,54.30910974,5.683070766,0.001539341,0.006908608,51.00007167,93
9506-3704,2.58094,37.46427316,4.289312464,0.045410857,0.078140891,25.00008611,61
9511-9102,3.523025,157.1725224,15.87888196,2.500262089,4.211210147,85.00005278,141
9883-6104,3.132985,53.84202221,0.687082668,0.053938371,0.017441711,59.50006694,102
9883-9101,4.216775,149.9672908,0.789947187,0.065538111,0.037266423,168.0000067,175
9885-12703,5.8301,145.1549227,3.859370936,0.387726726,0.160858337,144.00002,301
9887-6101,3.024265,134.8524293,5.261363081,0.043280839,0.045742323,145.5000192,90
