plateifu,mangaid,stellarmass_1re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
,1-80331,10.52278449,nan,1.905191183,-1.234465361,nan,10.16938322,nan,2.00454092,-1.527824283,nan,9.817847013,nan,2.028225183,-1.589632392,nan
,1-80117,9.456941057,nan,1.329874635,5.740787506,nan,8.960000709,nan,1.323500156,5.687269688,nan,8.466778299,nan,1.318310022,5.687269688,nan
7443-1902,1-79952,9.85836996,39.88465473,1.238826275,6.550267696,0.13711064,9.448757618,39.38152321,1.279005647,5.682672024,0.058273324,9.054376691,38.96964322,1.289938092,5.390357971,0.025881917
7443-12704,1-183745,9.509589446,38.11387276,1.800701261,-0.744416773,0.000721745,9.115655159,37.65164158,1.796276808,-0.704610467,0.00025083,8.273694992,36.83541276,1.775837898,-0.655759394,3.83E-05
7443-1901,1-80403,10.6229648,38.91046633,1.88901031,-1.443348289,0.002420809,10.37187938,38.65427908,1.95019424,-1.919928074,0.001556321,10.07327279,38.26233504,1.973445177,-2.048240662,0.000822644
7443-3702,1-560327,10.03664904,39.43627799,1.885800242,-1.596891999,0.028135305,9.677889589,39.07973901,1.887166858,-1.802282929,0.012940045,9.291707551,38.65644458,1.925977707,-1.971049547,0.006549303
7443-3704,1-80034,10.48848664,nan,1.423241973,3.825138092,0.30632736,10.17699344,39.10031581,1.564659119,1.955645084,0.077546879,9.891555941,38.7275819,1.625823379,1.544682145,0.029125129
7443-12701,1-80127,9.672914563,38.28161598,1.521453857,2.078170538,0.015601161,9.215350861,37.72930825,1.557955742,1.557571888,0.004297806,8.728593878,37.20033406,1.577018738,1.247585177,0.001185107
7443-3701,1-560323,11.36415621,39.01763533,1.848366618,-0.173750415,0.001675996,11.1685668,38.87550694,1.925971866,-1.4273386,0.001063789,10.97250441,38.7377473,2.004015207,-1.897998571,0.000682151
7443-12705,1-79971,10.01765382,39.15297194,1.880993724,-1.415804148,0.006081623,9.697834173,38.66792347,1.931619287,-1.46951592,0.002945984,9.35609372,38.11800663,1.951698303,-1.515309811,0.001648312
7443-6104,1-587259,10.89970756,41.28783615,1.5577631,3.368920565,3.403357939,10.55170323,41.17603706,1.630708218,2.241137505,1.293222981,10.22432737,41.02712996,1.682561874,1.441902399,0.638147495
7443-6102,1-183760,10.06008004,38.7566858,1.799381971,0.270523161,0.003467432,9.717014349,38.48444924,1.844746947,0.157654464,0.002088028,9.360017074,38.14886009,1.858561158,0.146822631,0.000886588
7443-6103,1-80405,9.584382352,38.62463177,1.420462132,4.670859814,0.021325093,9.146227876,38.0888374,1.478974819,3.773500443,0.00529067,8.808748604,37.71436367,1.48162055,3.383457899,0.002039545
7443-3703,1-79976,10.26251529,39.18089515,1.922218084,-2.039951324,0.010201208,9.917255715,38.86489836,1.949718833,-2.24140811,0.004583302,9.532147968,38.51477511,1.972527385,-2.291752815,0.001918626
7443-9101,1-456989,10.30191376,40.2014161,1.878373861,-1.38560915,0.053177425,10.00219224,40.10808635,1.885266304,-1.441777945,0.037888116,9.738675698,39.91955951,1.894998789,-1.460651636,0.023183205
7443-6101,1-457149,9.587608624,38.53909303,1.805806875,-1.015373468,0.002051607,9.245751747,38.12435448,1.840414286,-1.344004154,0.000566057,8.943238938,37.74316924,1.838173151,-1.443111539,7.13E-05
7443-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-12703,1-456981,10.1113938,38.98900911,1.799439549,-0.827375948,0.003059871,9.777890849,38.71800701,1.83053124,-1.030305028,0.001600388,9.389935404,38.49492432,1.856544733,-1.119287968,0.000745833
7443-12702,1-457211,9.778159068,39.46906362,1.811278939,-0.834498644,0.008588659,9.437822058,39.04427959,1.851625919,-1.305999637,0.00487645,9.147267865,38.61678088,1.879097462,-1.352713585,0.002101606
7495-6103,1-457185,9.381228173,38.57536935,1.525006533,3.100349903,0.003151535,9.048751772,38.05081359,1.514101028,2.92346096,0.000960835,8.755663239,37.71336643,1.507907152,3.112328529,0.000334811
7495-1901,1-457238,9.476985033,38.08674642,1.685232878,1.023622632,0.001593725,9.170783948,37.39148186,1.695351601,0.325126976,0.0002523,8.884702139,37.31236753,1.694687128,-0.00838285,3.76E-05
7495-1902,1-591200,9.727271546,38.89539997,1.86767745,-1.187833428,0.003019128,9.382532067,38.28243758,1.91093719,-1.343812227,0.001410887,9.115318178,37.91254374,1.92271018,-1.51265955,0.000841446
7495-3704,1-624109,10.01457128,38.82111718,1.66917026,0.573366046,0.002816375,9.718923194,38.34900131,1.711515546,0.364349604,0.002218347,9.42320065,38.09742663,1.739742279,0.306183994,0.001670415
7495-12705,1-591276,10.79715916,40.56459093,1.915034652,-1.28380847,0.051805497,10.60997926,40.43219041,1.937236786,-1.562293291,0.025521284,10.41127323,40.27893743,1.97814405,-2.011170626,0.018228792
7495-3701,1-404199,9.235342302,39.57337986,1.544387102,5.593711853,0.018884532,8.74831662,38.99272479,1.472256899,5.369390488,0.003644663,8.418982872,38.55467002,1.468308568,5.297886848,0.000524079
7495-3702,1-457156,9.581617114,38.37746881,1.73046422,0.325089395,0.001431212,9.260307665,37.84583195,1.73046422,-0.191413552,0.000392927,8.938796567,37.42476478,1.7336483,-0.474171013,8.54E-05
7495-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
