plateifu,mangaid,stellarmass_1re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,1-27409,9.510152892,nan,1.242866278,5.284291744,nan,9.10662909,nan,1.266481638,5.198831558,nan,8.651309975,nan,1.27261281,5.173431396,nan
7443-1902,1-106204,11.26296779,39.38494696,1.356856704,3.454450607,0.272613717,10.91127343,38.99797709,1.449588299,1.901430726,0.079672845,10.58573811,38.6766554,1.506638527,1.549592257,0.030982733
7443-12704,1-639858,9.3567404,40.12008709,1.226719141,5.893919468,0.12423958,8.921452668,39.7939412,1.218427777,5.854167938,0.054074102,8.531637615,39.47859025,1.218366504,5.839283466,0.025388146
7443-1901,1-27376,10.63597206,39.1282935,1.283064246,4.498334885,0.102264753,10.25047603,38.60392592,1.33065927,3.912903309,0.032364039,9.940140775,38.24873849,1.331145525,3.826752424,0.014321276
7443-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-3701,1-27443,10.57315987,39.09278348,1.285789013,4.322151184,0.109004769,10.28494711,38.66954479,1.29927969,4.05505085,0.048209106,10.01632969,38.35629257,1.306144238,4.05505085,0.025797436
7443-12705,1-26985,11.08169415,nan,1.908942461,-1.66843009,0.116757934,10.83146358,39.85589088,1.998312831,-2.815476894,0.044126702,10.55009303,39.55711922,2.01516819,-2.677120686,0.022763719
7443-6104,1-551039,11.50199511,40.25961771,1.92973423,-0.385237992,0.050464829,11.33110869,40.09470188,1.950334907,-1.527626753,0.026301687,11.13872671,39.997151,1.980958819,-1.893317342,0.016624891
7443-6102,1-27327,11.14627692,39.47465105,1.954638243,-2.355871439,0.016611211,10.85836716,39.28131354,2.031730413,-2.786486864,0.005627148,10.55999156,39.02392685,2.04598546,-2.770428181,0.002880412
7443-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-3703,1-35580,10.7760291,39.1160121,1.50911355,1.285302997,0.076836416,10.41918202,38.65452451,1.673994422,-0.544346511,0.019535576,10.09105342,38.31110351,1.721937776,-0.655750513,0.008954208
7495-6102,1-35300,9.885564366,39.22579888,1.411398649,4.889714241,0.049603967,9.478998786,38.49884921,1.47451365,3.520109653,0.013587167,9.180303863,38.06078118,1.499416113,3.078660488,0.0045234
7495-9101,1-35362,10.88896875,39.42852281,1.950670719,-1.551820874,0.026805328,10.53277204,39.0850827,2.010885954,-2.022056103,0.008629492,10.14758719,38.72276382,2.026039362,-2.105001211,0.003231095
7495-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-9102,1-547851,10.76016633,39.2755144,1.735330343,0.141505361,0.02794814,10.45413093,38.9406173,1.878995657,-1.170775056,0.00750466,10.1804999,38.5472259,1.910403728,-1.30711329,0.004193285
7495-6101,1-35806,9.773516167,39.44006036,1.246755362,5.874290943,0.056394188,9.273759706,38.61018921,1.286575794,4.684547901,0.012500424,8.874417511,38.14025343,1.30198586,4.407606125,0.005142396
7495-12701,1-35323,9.692164225,40.45228188,1.236171603,6.138697624,0.4738821,9.354571313,39.97066559,1.272573471,5.783373356,0.19112332,8.959348631,39.5799851,1.284085393,5.848148823,0.082629942
7495-12704,1-35296,10.28576397,39.29410173,1.480243564,2.992155313,0.148212489,9.938272169,38.82769829,1.584514737,1.446294308,0.041031157,9.632721763,38.48621691,1.612942934,0.636700809,0.015279612
7495-12702,1-35268,11.03860049,39.39832289,1.802639008,-1.046042085,0.095098569,10.73297924,39.14586999,1.665702581,-0.206340984,0.066943789,10.43264874,38.84548463,1.61740303,0.049447976,0.037614058
7495-12703,1-35716,10.63252004,39.33890977,1.362756848,4.259785652,0.143779615,10.32170142,38.83719527,1.398465633,4.053895473,0.058698153,10.01138254,38.48176968,1.420011759,3.601828098,0.028445501
7815-1901,1-35747,10.2162763,38.44636297,1.588040471,1.352775931,0.015635156,9.728881073,37.97026307,1.617391109,1.291094422,0.005739316,9.554003836,37.80237856,1.629971027,1.291094422,0.003946755
7815-3703,1-35275,9.764248488,40.24607696,1.257662535,5.660335541,0.711814124,9.300503974,39.50500599,1.29383266,4.854739666,0.181889393,8.838691001,38.92986841,1.29978323,4.609312057,0.051857166
7815-3704,1-35830,11.4012563,40.09663547,1.990085721,-1.843622088,0.058481196,11.17826598,39.92336978,1.982974648,-1.901656032,0.040669151,10.95909844,39.64684157,2.018953323,-1.920012116,0.025938009
7815-3702,1-108741,9.545940535,39.6439798,1.234674931,5.44240284,0.070561357,9.219976892,39.02643679,1.256130219,5.293333054,0.021486534,8.959966012,38.63396608,1.287700772,4.635660648,0.009394845
7815-12704,1-115355,9.329595004,37.80777841,1.721146941,0.194003299,0.002514476,8.796890144,37.15649284,1.757487535,0.150501475,8.92E-05,8.47861439,36.91546023,1.761232257,0.150501475,9.48E-06
7815-3701,1-115388,10.84264554,40.12763977,1.984279752,-1.530409813,0.025122186,10.46886061,39.80073891,2.002217531,-1.789373398,0.01041473,10.14178137,39.54457651,2.002217531,-1.789373398,0.002962027
7815-12705,1-115346,9.970001723,38.4314159,1.888219118,-1.015678883,0.001363773,9.597655397,38.08731268,1.904654384,-1.275107622,0.000667733,9.139837588,37.72074364,1.902032137,-1.289449573,0.000307615
