plateifu "count in aperture" distance(kpc) "nth distance" "nth redsuift difference"
26109 2 "[143.17232824971023, 0.08399096952240467]" "[0.08399096952240467, 143.17232824971023, 494.1087127436963, 621.4611927916529, 698.5311559589418, 1074.9043268224225, 1325.901958661613]" "[-0.0014382476380713982, -377.8687323861292, 39.57398036505071, -369.40328275625615, 4.684713025046264, -517.7965839726796, 356.1058531746992]"
26139 2 "[31.354513713525183, 0.08537916845099854]" "[0.08537916845099854, 31.354513713525183, 870.4798211762155, 1393.0888875209048, 1438.1475428400863, 1597.9851471875513, 3366.473827392835]" "[-497.9855031279109, -192.8339643193714, 101.89770047245102, -581.987780088403, -394.03692928225615, -51.811635076188274, -614.3396461673162]"
26143 2 "[0.08112415271957352, 31.293678038303806]" "[0.08112415271957352, 31.293678038303806, 886.1316031608843, 1411.166520834136, 1429.4902158642956, 1602.301904834181, 3374.856897351994]" "[-599.8819616775337, -683.8842386380259, -716.236104716939, -153.70809362581107, -495.933387831879, 0.0012419228282190093, -294.7304228689942]"
26145 1 [0.15187508259109367] "[0.15187508259109367, 2358.3647171593802, 2770.519746101759, 3570.0826288115245, 5384.6943265365235, 6748.2608150345595, 7192.531887817231]" "[267.80129115829317, 57.10764137289377, -12.706631353045983, 662.706698694323, -108.02893436213878, -270.30646642270233, -99.73324045043735]"
26155 3 "[179.86964177722166, 0.16384683526237898, 120.9362096028409]" "[0.16384683526237898, 120.9362096028409, 179.86964177722166, 450.08166979813893, 528.8116348332165, 1246.3252802765292, 2064.526940543925]" "[305.73367954974645, -27.253329783193532, -101.20874858137196, 429.37615033117703, -128.74938022684282, 148.3879978276419, -0.0008361330402532573]"
26280 1 [0.2629867930456648] "[0.2629867930456648, 1455.492335694182, 1461.1130186999164, 1537.1058548938743, 1822.8395448226916, 2323.7701418935826, 2357.7957628346717]" "[-146.9251116940754, 0.0006960113120487666, -145.63854204056437, -309.1557375693547, 370.6734747783464, 178.49213278513375, -174.04135404411727]"
26568 1 [0.08342392423912615] "[0.08342392423912615, 4201.912990929637, 4608.66408843512, 4977.569036515519, 5004.583523596659, 5022.200699775575, 5118.370179865708]" "[-625.8316422119524, -951.7134812882628, -0.00038363791365475844, -324.76987603462595, -165.81151498989124, -500.5429876898314, -426.0783017371382]"
26574 4 "[170.38438393994613, 77.50598768848184, 0.09038316399245992, 90.74149259127559]" "[0.09038316399245992, 77.50598768848184, 90.74149259127559, 170.38438393994613, 676.7630027101845, 687.3752667356875, 703.1877734718691]" "[128.2682240331527, -120.78686761722152, -175.20250980270092, -9.006845389135689e-05, -170.5621479013655, 211.65066925953144, -58.29107660956119]"
26844 2 "[0.23554822511423928, 13.148433546137603]" "[0.23554822511423928, 13.148433546137603, 364.91240395065, 714.2955654804266, 1705.1508616712695, 1749.3694456007538, 2557.955548813248]" "[-897.8408452084325, -853.8830487134718, -102.25163483492662, 790.6768445148952, 16.8141324394829, 166.70396432926128, -0.0006181709878699097]"
26928 2 "[0.09506887667182734, 225.12814801182734]" "[0.09506887667182734, 225.12814801182734, 889.9079437753923, 2090.9311164817573, 3117.9858113642913, 3401.3396029254154, 3846.6054290963193]" "[609.9285703997258, 0.000742264920837534, -343.47314992085654, -17.55110554287397, -574.2069089619871, -187.88309970510565, 988.2783281582836]"
27013 1 [0.34546261536865874] "[0.34546261536865874, 547.0254660097215, 585.8867797799645, 1331.5743121192254, 1467.5411692233324, 1912.5821763433744, 2055.196808256761]" "[688.8471886414726, -424.5537633115808, -54.89281796996396, -518.6028984343866, 3.7890534485121443, -206.7750459203879, -391.4603327796022]"
27091 2 "[179.15852790143506, 107.49848693078458]" "[107.49848693078458, 179.15852790143506, 333.5769402857387, 339.8269768577261, 382.6682733562624, 504.57152010887575, 507.6143767970394]" "[-259.6034285302514, -394.9746792606169, 459.61357768900154, 855.7631159489995, -469.3366183312589, 406.7994466867989, 293.5277101089304]"
27115 2 "[0.24428026827333718, 166.25347096378363]" "[0.24428026827333718, 166.25347096378363, 791.9100129026012, 841.9505770728363, 1418.757196454589, 1454.4822596845463, 1926.8739199980196]" "[0.0003240096990631944, -590.4413345813032, 428.343140769792, -94.04881111310677, 217.77904140089197, 410.33116562063736, -793.8220867180999]"
27182 1 [0.4486065820884187] "[0.4486065820884187, 1583.9538924913002, 2068.54081778701, 2570.5668581126233, 2584.1556434080535, 2605.9479882844803, 2796.846826878933]" "[-246.97210217926548, -870.4759205120567, -923.2900515142594, -474.32638225205886, -405.40556067439064, 139.3048008923317, 0.00013148170066227472]"
27225 3 "[260.0517868023739, 0.04116771672493836, 155.7585750238386]" "[0.04116771672493836, 155.7585750238386, 260.0517868023739, 340.81863192129293, 514.2386451293593, 533.5163339868855, 568.6357717540119]" "[inf, 156.51261434446332, 7.581812200108806e-05, -496.70459714500174, 853.0890100595471, -577.7590437231654, 108.92182211784329]"
27282 1 [0.1666935865725911] "[0.1666935865725911, 1384.1375282675212, 1652.5709740169812, 1928.4118153436027, 1991.7968030101893, 2060.9252289862247, 2269.641448569101]" "[295.15571919031265, -227.96886263416877, 238.24288104541426, -33.09376542891734, -127.14290055172316, -623.5354240199196, -587.6231551151442]"
27407 0 [] "[485.77680854427615, 486.65553750431775, 756.0627521127383, 822.7578199527285, 2587.891450059729, 3057.975945851623, 3234.2629577272032]" "[383.5527548701095, -379.2713682684076, 686.0797809306013, 958.0284414414989, 739.6957843383776, -97.66450084469444, -791.5409988710952]"
27408 2 "[35.63720376551713, 97.71693767475249]" "[35.63720376551713, 97.71693767475249, 326.56123901842113, 421.4142424189033, 691.925702311432, 846.0915011263471, 929.665646219448]" "[899.0790504500242, 374.44006892922243, 994.568875549418, 813.1290499863001, 604.3116476122709, 725.7696303361776, 942.1925356098684]"
27439 1 [0.3909782967940121] "[0.3909782967940121, 1204.2493630747783, 2175.679677954138, 2277.0605815264507, 2611.6959978773853, 2657.585002073524, 2835.843274247439]" "[-483.35157597286457, 693.8775260127092, -795.1794284868633, -272.78747660396454, -914.0486365086531, -701.1302933640575, -276.57570947263594]"
27508 1 [0.2432665875871742] "[0.2432665875871742, 1729.9709629249337, 1859.3897706194673, 1897.4691868810582, 2124.66186317014, 3002.9526474601394, 3417.914800165847]" "[3.435426744194469e-05, 84.1050581968108, 386.6320842573026, 731.0932399619201, -397.1121975179931, 404.1839320650974, -552.7067149894854]"
27567 2 "[109.32511691534313, 0.3455439697322991]" "[0.3455439697322991, 109.32511691534313, 371.6051644508563, 512.7660409883039, 846.6507596224073, 937.5495369911141, 974.5944187506036]" "[567.7517555678684, -0.0007111127775703912, 351.3288502941775, -203.45964022504805, 648.0328084958094, 78.92006244192005, 489.10348461339356]"
27576 1 [0.03955605761171449] "[0.03955605761171449, 409.2144433066389, 580.1494649422259, 701.8467221653838, 843.5605397970317, 1257.4785328679782, 1290.8967750378067]" "[558.4434976164329, -0.0003249131587511527, 78.3519903484511, 415.5560891012328, 56.77179467588689, -195.34113352944675, -748.2165217774358]"
27703 1 [0.16243017208825447] "[0.16243017208825447, 917.8860071733337, 1061.1240839479872, 1177.80056449541, 1186.2842994088007, 1217.5078954471883, 1376.7422618011774]" "[-30.910080139967818, -74.49039352478387, -72.72694432088286, 133.3933523993015, 87.47666426175532, 169.42400358122288, -119.47565884025694]"
27954 0 [] "[1674.5272836969552, 3977.8441126294174, 6380.312707043534, 6717.70814442519, 6775.072717956052, 6856.156936144749, 7404.175397448055]" "[125.85044853021387, 396.84981719607293, -591.5461509744357, 914.1803683240133, 327.4800364163983, 575.1312929500508, 432.6504047073144]"
28130 1 [0.019617986640141957] "[0.019617986640141957, 389.8035772382217, 517.4939137311817, 542.7059047299213, 582.1451645043885, 653.695629644036, 731.2575000615525]" "[-20.14818825995532, -435.57616867178285, -28.046296410675915, -0.000864866431628152, -696.9731711215934, -144.0586943858674, 106.93183581445011]"
28395 2 "[0.15428769101968418, 197.13006056039566]" "[0.15428769101968418, 197.13006056039566, 399.28036724436976, 5606.379527296833, 6503.75291920884, 7365.418072125559, 7392.0997252674015]" "[34.838187894440175, -519.20873817172, 601.1745345050757, 25.586501254088166, 96.62480205315995, 121.83352620164203, -0.0019396324093321577]"
28577 2 "[206.25191151408646, 0.18780061492039765]" "[0.18780061492039765, 206.25191151408646, 417.8706579024086, 1640.2627449632703, 2980.6181719684214, 5808.237420770721, 6156.952129090856]" "[125.80547587613822, 242.28916933204292, -414.8352157102072, -224.57926094151972, 225.02322589169503, 211.10325700162412, -0.0013803119802379652]"
28887 1 [0.22612305303430993] "[0.22612305303430993, 534.5817021879321, 661.8582381627764, 3091.4114272431466, 3642.9206634481206, 3738.6003087511003, 4959.990169789662]" "[175.47816441851927, 67.98705676996782, -340.1995020851187, -684.6718259290896, 605.7419011473961, -0.00010835775658147245, 914.7285790098913]"
29038 2 "[39.84498208459381, 0.1044426550520216]" "[0.1044426550520216, 39.84498208459381, 1424.7032887719758, 1764.9620474894195, 1972.050792876968, 2057.161723432735, 2111.926540482617]" "[-232.69725978519114, -499.84473718806447, -296.48967177178054, -560.9378098929384, 175.07496109988446, -766.6962588980729, 796.5595798375821]"
29214 1 [0.47801442145092865] "[0.47801442145092865, 349.2503785256528, 711.4579892652704, 993.294564733577, 1476.7191264298726, 1824.9424555042099, 3023.689592836013]" "[52.6885243734216, -843.1749419984723, -92.85913493575698, 115.2033012179827, -615.5838973713869, -953.8824737808013, -0.0005234680230085347]"
29284 2 "[140.7910918266254, 0.1616903313418081]" "[0.1616903313418081, 140.7910918266254, 1144.5438109625202, 1912.0291505449425, 1962.9291607951484, 2990.1057379197323, 3216.115111838265]" "[450.04257555488056, 6.403114209265775e-05, -83.99774567360868, -608.6009891484796, -336.16539776177393, 514.4648706010015, -186.69325428381254]"
29287 2 "[151.64591848956204, 14.311905213156857]" "[14.311905213156857, 151.64591848956204, 1143.5712723615284, 1876.4903630728788, 1954.0201159316807, 2953.0945597820332, 3173.807802714454]" "[199.0048357161022, 283.00264542085296, -325.5984077587687, -53.162816372063055, 797.4674519907123, 96.30932710589836, 733.0451569445914]"
29476 1 [0.21028989538768744] "[0.21028989538768744, 544.4827540346848, 786.2649728842682, 828.266512879713, 969.4247344273608, 1917.684520977825, 2379.1930982436897]" "[0.0009249806790243922, 235.322555668184, 464.9037627280442, -261.8472702990086, -704.5925195692391, 655.7270589758841, -260.93148287203024]"
29483 1 [0.13136856331242114] "[0.13136856331242114, 2892.753182109848, 4570.5761963872055, 4624.871438096823, 5446.849693624525, 5816.619673706937, 6430.989857619846]" "[inf, -496.5996677067506, 294.5758939942938, 352.89591769771994, 321.26104616529466, 12.252032024092683, 252.84949174214125]"
29529 2 "[0.07146135589893726, 264.4348385056121]" "[0.07146135589893726, 264.4348385056121, 428.9408646717927, 930.0721301890164, 937.9039206016053, 1829.7576646604577, 2159.5262017512123]" "[-323.6665696797197, -0.0004894511227927836, -280.29845094261816, -947.4652268914406, -69.92420994272581, 22.230808745744316, 123.30246989396461]"
29964 1 [0.21155731406985848] "[0.21155731406985848, 2547.8042790393974, 2831.167827923046, 3038.924035510053, 3123.424367903395, 3454.7406386815014, 3461.364245438982]" "[566.0794457316908, -23.849595262990494, -3.3673816522850616e-05, -42.23681989441921, 613.5105335655574, 992.925731818429, 307.2924374487687]"
29981 0 [] "[431.7333237160295, 495.79986039586623, 525.257532602753, 561.3986624057284, 579.3964988138218, 641.5982419304381, 873.0244716614013]" "[-172.63930623853767, 699.3399773121866, 487.44463573236203, -1.1569937229063525, 214.89736295212245, -392.265233878782, 807.6441255056652]"
30063 1 [0.13596669136419717] "[0.13596669136419717, 776.7578632619247, 855.4684427815479, 1112.1134122794099, 1614.5687618894417, 1733.036065767752, 2205.1213088228346]" "[-381.3866671030479, -262.8167652159291, -171.9148117629098, 770.7051868259055, -46.59488645059937, 830.9461304981154, 0.0008245596331992144]"
30163 3 "[0.05084454981149654, 253.42999977337286, 278.45006235696394]" "[0.05084454981149654, 253.42999977337286, 278.45006235696394, 854.374207334977, 2271.730331072907, 2408.7158239003184, 2442.2947624659637]" "[11.62372882063322, 598.4469102611356, -516.0842573944814, -7.061837978372173e-05, 400.11862436781456, 145.0070507460945, -81.79999049838251]"
30174 2 "[0.3183121512436223, 288.11601208227205]" "[0.3183121512436223, 288.11601208227205, 1153.6802952722865, 1988.7000778426439, 3142.2430677874336, 7291.993509913312, 7428.54034077156]" "[-0.0010925092080471988, 957.3496818867346, 852.7712249815485, 529.3151057727953, 618.8299763181229, 116.25477090388742, 668.1618814699372]"
30274 3 "[108.51281626561124, 0.08363536672671677, 87.79071653998372]" "[0.08363536672671677, 87.79071653998372, 108.51281626561124, 788.1708594670843, 2673.0867217154673, 2765.7227386724867, 3035.08855664717]" "[inf, 262.98299495673484, 206.74359561484613, 0.00011671874233182016, 186.84867217070914, -336.2077840037166, -324.16071208320994]"
30301 3 "[292.79789664566016, 0.14291997093979392, 169.12995380940475]" "[0.14291997093979392, 169.12995380940475, 292.79789664566016, 337.4379388884525, 545.1767770077985, 694.5078690144111, 970.7310243658914]" "[241.75840364436704, -142.11734946625035, -434.04357765250006, 808.724633314534, 139.50068609681622, -0.000542566434562753, -676.2827538554976]"
30365 1 [256.3481837122063] "[256.3481837122063, 508.38289814256694, 807.2026447047438, 3426.240924223723, 4895.9357387831105, 4899.187077710312, 5996.22467888195]" "[413.1135541771448, 856.0263255376763, 613.7871493346787, 971.3328971057332, 904.9226732547081, 839.3634616224116, -704.3593013841562]"
30428 2 "[0.05490928368260471, 33.7569026518558]" "[0.05490928368260471, 33.7569026518558, 447.40951308487234, 459.01333361860145, 1191.324056696533, 1201.5591960811578, 1377.7456539530497]" "[-142.69620970643837, 0.0002236258185925232, -262.45105117895235, -103.1777486044519, 83.12915208887527, -183.74135545803387, -148.9101624426671]"
30545 1 [0.3628962996706541] "[0.3628962996706541, 583.2899691432269, 733.1954142216456, 767.9170983004857, 1603.2851125574423, 1849.990788138373, 2580.077556421517]" "[26.650191802104146, -95.8531287652802, 302.9320903821188, -176.31510555074627, 0.0007776770341730826, 148.13497806045893, -469.9120873842638]"
30613 1 [0.35537409373752443] "[0.35537409373752443, 1640.6372557343202, 1846.4327642117587, 1898.2258000483153, 2318.947643817971, 2560.557250730498, 2591.437438363895]" "[196.5034398260988, 216.90986405262123, 2.7903122430973204e-05, 144.04222202746342, 403.66572394795486, -664.0843415841631, 150.8838241953529]"
30689 10 "[287.1074673289328, 289.2257251882831, 255.24064197578056, 26.76698463136308, 0.13361969215625172, 7.495295759635241, 57.945136898450954, 94.11089105366372, 56.78111496545782, 248.88000359275654]" "[0.13361969215625172, 7.495295759635241, 26.76698463136308, 56.78111496545782, 57.945136898450954, 94.11089105366372, 248.88000359275654]" "[368.31418894189517, -610.8524288669684, -373.3239738432326, 0.00012120629767082044, -522.8765279245384, 488.23096843503333, 780.8697239120296]"
30690 7 "[285.2702164828399, 0.12838768875659698, 27.3550198911807, 67.09442067662084, 21.176035710181274, 81.3156976016713, 255.28135518393742]" "[0.12838768875659698, 21.176035710181274, 27.3550198911807, 67.09442067662084, 81.3156976016713, 255.28135518393742, 285.2702164828399]" "[555.9163854456929, -813.8782425268504, -33.008639821118386, -882.7141862454328, -325.6473952981147, -445.56417479125287, -556.8457489363465]"
30782 1 [213.1948721108934] "[213.1948721108934, 601.0072002677738, 679.9096205240388, 723.5997923615126, 749.5799615928556, 822.1598364994029, 857.4652487708819]" "[-702.0156981913566, 102.94358109964729, -339.91111593624646, -904.4337567158907, -299.0625294372707, -857.7598687301844, -98.10302991228997]"
30875 1 [0.18136607134216134] "[0.18136607134216134, 574.9368978304121, 583.3138993372278, 990.7393490608674, 1108.3298313556854, 1866.531739296838, 1906.8431117312457]" "[-211.19536838416198, 473.5031527216192, 0.0008476721401861469, 794.4978140168841, -196.74602968874018, -809.4033510815148, -235.25377417924443]"
30895 5 "[0.08037813179071847, 295.82305167583155, 194.4647496184903, 258.17796071853365, 226.00118286222724]" "[0.08037813179071847, 194.4647496184903, 226.00118286222724, 258.17796071853365, 295.82305167583155, 358.60765917363165, 360.9578330401742]" "[-58.901222315406805, -0.00045536560417426997, -57.158992576277264, -47.89613779657186, -455.64490558900536, 416.4415920995116, 223.7018431386292]"
30924 3 "[257.65314875977356, 0.018225891760682286, 38.61347907849683]" "[0.018225891760682286, 38.61347907849683, 257.65314875977356, 321.84396377475593, 335.24233548904556, 353.0964071824717, 437.14072143329986]" "[-9.553665786068212e-05, -55.24441366215913, 47.89558689430982, -11.005180055492808, -9.262950316363266, 464.3376343594256, 271.59788539854316]"
31052 1 [0.06936760692061308] "[0.06936760692061308, 958.584392910678, 1034.770371191767, 3106.3684972546503, 3155.448546386318, 3199.725085703518, 4879.027768860907]" "[142.9276340760552, -249.679370381046, 2.0259182971737954e-05, 132.33577071329586, 160.83239508741727, 171.52923896009852, -317.47444351189205]"
31250 4 "[248.25342556468345, 0.02312348877964741, 269.57305147400604, 277.7277635202966]" "[0.02312348877964741, 248.25342556468345, 269.57305147400604, 277.7277635202966, 428.8945107568527, 442.41887140768813, 454.5287028997313]" "[394.2186676475901, 25.13064785480241, -683.8987816462841, 0.00010068179409149305, -71.76524598918368, -62.22653816744943, 17.8009979971696]"
31293 2 "[10.42057536528745, 148.8567378298659]" "[10.42057536528745, 148.8567378298659, 435.90761050029784, 836.4756596390047, 982.2597403671141, 1301.610340905177, 1622.5089307048327]" "[-385.88320665070756, -274.7423510614668, 513.5004572453762, -345.30042186834265, -466.88572138087795, 0.000577915650122702, -517.6315129748319]"
31294 2 "[20.27143884361122, 140.72107811471002]" "[20.27143884361122, 140.72107811471002, 423.26598187454965, 840.7753293915597, 983.7718182483844, 1301.585872667229, 1619.4936388501394]" "[-105.78411521672531, 5.3567403725154685, 793.5995486793585, -65.20133043436036, -186.7866299468957, 280.0996693496324, -237.53242154084964]"
31324 5 "[0.056091885150636574, 33.395434917036255, 154.5352899894707, 277.13310961101183, 253.90588495612297]" "[0.056091885150636574, 33.395434917036255, 154.5352899894707, 253.90588495612297, 277.13310961101183, 392.33686790507227, 394.7068287180083]" "[-240.0972584332057, -193.67465358295073, -248.32259306698074, -0.00013135818920148462, -122.64752092323235, -50.88217425225458, -113.1088131014981]"
31340 11 "[235.93199400430242, 230.71872245234397, 285.1654622463731, 256.9275278202332, 232.88852981060202, 191.09824534424317, 130.30142819159207, 50.70145777651097, 281.09961040764034, 151.0230139912594, 273.5955549006386]" "[50.70145777651097, 130.30142819159207, 151.0230139912594, 191.09824534424317, 230.71872245234397, 232.88852981060202, 235.93199400430242]" "[-240.54941729448728, -323.59346789845813, -684.4360504066346, -139.8351366055756, -477.8009024622588, -936.4149609397276, -754.410027525328]"
31380 0 [] "[492.9852875025287, 831.2123757444647, 1081.7221612927426, 2884.7217183882462, 3276.380659039487, 3311.1940119149294, 3375.910593375536]" "[-4.054427703789476, 175.17633989522693, 897.1250730003202, -599.3519932856476, -509.02184856752217, -60.87345347811937, -16.9781985635376]"
31391 9 "[284.32469039052137, 274.79513488106045, 0.1219292052927434, 235.1761948823689, 82.70431806691042, 176.64521274815627, 192.66798213828363, 141.70055990493648, 164.94240193738977]" "[0.1219292052927434, 82.70431806691042, 141.70055990493648, 164.94240193738977, 176.64521274815627, 192.66798213828363, 235.1761948823689]" "[119.65098305317773, -182.0049281377493, 430.81656490352015, 845.8614781355262, 211.87971146138025, 621.5996558496879, 69.97398239534361]"
31394 1 [0.26000406446761404] "[0.26000406446761404, 405.347340913051, 893.4390302147211, 1687.7067834540082, 1730.317675523677, 1839.5809002834274, 2564.5119148995323]" "[735.01774490909, -199.94761096690868, -848.7830029810694, -482.06374554513667, 5.5132654534991745e-05, 431.00312268672604, -982.7381336414245]"
31480 1 [0.12198271066232286] "[0.12198271066232286, 450.4258092253408, 1844.693669520371, 2515.971785640231, 3177.176175183089, 4363.894155174329, 4402.039694761573]" "[909.7016507566174, -312.2625502229134, 0.0008597258677386153, 130.50056807028255, 517.2130285766622, 115.97305239938699, -419.230988949726]"
31523 3 "[224.397910623206, 16.47647031523576, 0.0698315791350943]" "[0.0698315791350943, 16.47647031523576, 224.397910623206, 1206.9821408186453, 1842.829095445663, 2598.1330199514396, 2744.970831997541]" "[-0.0012974454547873572, 13.793588283858108, -178.58431296197432, -538.292212511846, -287.3843265427436, -713.1272004613663, -717.0628527695026]"
31524 3 "[214.31741574523488, 0.022448465578431807, 16.468491782520424]" "[0.022448465578431807, 16.468491782520424, 214.31741574523488, 1218.4553177006476, 1832.2712778443722, 2604.221151391548, 2742.2693504945355]" "[178.58207186056813, 192.37695758988104, -0.0009436559513890778, -359.70884320582303, -108.80095723672068, -534.5438311553434, -538.4794834634796]"
31556 6 "[0.12273632755541367, 198.93037398594666, 134.28575589865613, 113.0615613375329, 261.3853701471114, 280.4697897827312]" "[0.12273632755541367, 113.0615613375329, 134.28575589865613, 198.93037398594666, 261.3853701471114, 280.4697897827312, 332.7837750672825]" "[9.767350972770858e-05, 112.45209282283902, 206.9635889148754, 666.1773764756215, -190.15087658525584, -122.24858931661723, 338.0328723663133]"
31657 1 [0.11344940552697606] "[0.11344940552697606, 863.6081242652531, 1241.5529832373572, 2243.9320118355827, 2563.981510006931, 2660.3837289219505, 2825.6626549579228]" "[-419.1154336549377, 0.0002663713807076389, -272.95129305345176, -292.106885672394, -427.0961860368734, -537.0532188546543, -65.24400373115]"
31672 3 "[0.033255843378198806, 292.27797978531606, 151.41949906053185]" "[0.033255843378198806, 151.41949906053185, 292.27797978531606, 323.827059439596, 332.53868658903366, 459.5264481815562, 638.7677240152072]" "[8.705210887932463, 396.6986569781464, 997.3424108684745, -5.803318946062342, 42.96906242414681, -0.0003537380385560934, -241.7805194136116]"
31796 2 "[0.4145014803587301, 191.28575010343863]" "[0.4145014803587301, 191.28575010343863, 1358.9065503997977, 1808.4573552920506, 2004.718468276851, 2051.242251899869, 2188.2446412620443]" "[960.7951640225856, 397.92540786724373, 0.00013545005604042204, 917.9452469514815, 538.2910505164473, 445.4525416995494, 648.7484159772603]"
31994 1 [0.17407402298848834] "[0.17407402298848834, 896.4842259951964, 3807.869028572885, 3824.1526949756744, 4085.0013777072177, 4515.515714111331, 5727.717860722909]" "[-63.11808858117162, -455.0818082115173, -339.6099481810301, -432.7499967604696, -0.00023221152721965594, -462.207081118983, -463.46014635443385]"
32101 4 "[0.052353494979430135, 293.2857621674443, 256.4697229864592, 289.3366604999669]" "[0.052353494979430135, 256.4697229864592, 289.3366604999669, 293.2857621674443, 415.0820690019086, 839.7713361528597, 873.5010879181422]" "[56.28734895803472, -492.34302952172914, 96.77967181163719, -7.338307360222373e-05, -144.76484612357922, -206.10026745242186, -15.900153380501363]"
32203 1 [0.06550254314146421] "[0.06550254314146421, 1375.6924709732918, 1682.8862751942115, 1847.0740052931994, 2149.208907941504, 2825.5169934126, 3554.6918058005085]" "[-511.93196579792635, -220.14422253965873, 989.0748978097782, 47.953663522188464, -316.4761253462984, -349.1541010943307, 188.319306171392]"
32333 1 [39.61506825817277] "[39.61506825817277, 703.7980139505453, 731.9078129723713, 1275.7056228252757, 1279.1365313798203, 1430.189265469706, 1458.8386998435424]" "[874.8417344561852, 770.0041767180003, 0.0011736031212430434, 583.0539911979176, 407.66506353646895, 684.6215177334286, 56.46728617388388]"
32339 1 [0.15656729822250573] "[0.15656729822250573, 665.7226412349324, 701.462282963402, 1281.9292980402993, 1308.8939172781409, 1427.651687583413, 1458.211032246077]" "[874.8417344561852, 770.0041767180003, 0.0011736031212430434, 583.0539911979176, 407.66506353646895, 684.6215177334286, 56.46728617388388]"
32359 2 "[0.30581426355185526, 226.15446025345938]" "[0.30581426355185526, 226.15446025345938, 558.1614316300248, 770.5331180595836, 809.759273813592, 1450.2235650143964, 1660.0919831011486]" "[-248.0159120697509, 486.10385930267165, -192.95698505751596, 991.8999561064262, -96.41065397529113, -230.12455282561288, -0.0005741931777011584]"
32363 2 "[76.8543786896209, 0.16284376751144872]" "[0.16284376751144872, 76.8543786896209, 339.5653513852775, 1223.8564804483908, 1277.717885209826, 1448.1339333930089, 1736.9163422861882]" "[-61.21115305271025, 129.00906367004637, -689.3653846122551, -578.1887909770834, 24.171505931861443, 450.9909884841514, -338.16760724966997]"
32452 1 [0.23256350692858788] "[0.23256350692858788, 589.2916527345458, 1658.1687267584966, 1733.0235795158053, 1952.383019167807, 2134.3483174918006, 3174.7674319914945]" "[442.9653630515064, 89.84666572013754, 77.78954247421282, 0.0012182499493974752, 122.61398658299701, -769.9705140747402, 718.733527221265]"
32466 1 [0.11476881900705814] "[0.11476881900705814, 694.9278131962716, 805.3653902389544, 1487.118128566655, 1927.6568322349483, 1993.103413583033, 2319.002208057281]" "[-35.87229955426052, -253.90118326696947, -0.0002359511573622322, 329.0801582359652, 430.20542645308177, 254.97731999832197, 296.7550956915001]"
32536 2 "[0.0, 85.86763604932506]" "[0.0, 85.86763604932506, 367.9844837029526, 556.4351801045707, 1457.1241415880208, 1736.1891549904137, 2175.8466152589203]" "[628.8857275586608, -12.058257188391323, 32.766186920392876, -393.16431173936684, -0.0011339424666120467, -859.8183137373443, -89.84658141265474]"
32649 3 "[262.7475570225762, 0.12759780014667244, 17.41693542174218]" "[0.12759780014667244, 17.41693542174218, 262.7475570225762, 385.50105313028865, 666.5159889844749, 674.8113132414384, 813.5823423919492]" "[-323.88678383629724, -779.1247137872349, 0.00042555149687848793, -570.0370424408535, -734.9256854822407, -69.49890564467714, -539.4787795420955]"
32679 3 "[244.7761959657737, 0.4718392047649685, 212.03733143420345]" "[0.4718392047649685, 212.03733143420345, 244.7761959657737, 332.04838126610196, 397.3777212914535, 562.8856320234739, 567.8424103973952]" "[-867.4774369032477, -869.3581515703594, 261.0563438736553, -358.55649470841337, -383.803190530697, -941.7567317426746, 217.19012612139232]"
32825 1 [0.0804379786061979] "[0.0804379786061979, 469.6512172852212, 488.2160534294699, 606.0045694323542, 680.803472416222, 1215.6270086073644, 2252.0704722625796]" "[inf, -76.37647781271298, 27.750786262596062, 0.00019359728138839332, 737.2693802673612, -113.00797489184696, 449.32571057453197]"
32834 2 "[226.5875070609479, 13.775155811935491]" "[13.775155811935491, 226.5875070609479, 1056.819594660369, 1223.574765079225, 1492.7803071804783, 4306.905492681427, 5279.735280489008]" "[219.81057967928527, -34.12610568245769, -260.19158247386935, -0.0007390742254356898, 311.6126851641881, -912.8219082403135, -197.699141908015]"
32872 1 [0.4992828918963781] "[0.4992828918963781, 316.798978284187, 629.1976644532789, 842.5552888018707, 1140.4707829101158, 1453.6297801026926, 1528.5882171492633]" "[-10.41544211705187, -565.7310688137577, -913.935784829633, -691.8528665316418, -782.9201084470914, -3.5356076152088384e-05, -731.4059488656238]"
32968 1 [0.22973486717126568] "[0.22973486717126568, 487.3755821203838, 566.9921683425672, 719.1401020463636, 856.6755446633176, 986.7408976776355, 1123.7570836962618]" "[-139.05899551473388, 427.7374784372615, 190.6981879172044, -95.18160962311754, -2.5169877500270996e-05, -327.662065659119, 81.5497283886092]"
33112 1 [0.10004774340997831] "[0.10004774340997831, 1442.8841140313664, 1578.3809497746813, 2290.9784564078554, 2356.6024998380312, 2383.15235164674, 2663.3295045680557]" "[-0.0002671890684322581, -253.72252427522622, 76.90577402627683, 766.8399188609293, 726.9741286250523, 964.1876421190224, 714.8209593806884]"
33187 1 [0.13175701939051412] "[0.13175701939051412, 1544.3387561328743, 1749.0690326824372, 1931.2283032548767, 2036.067077979287, 2166.869717438851, 2199.404315026074]" "[-284.5287291252103, -318.3011825298753, -565.2153418662037, -210.54650679258373, -182.1883673464444, -412.9087246203509, 345.76531793444485]"
