plateifu,mangaid,stellarmass_1re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
,1-38379,9.672297565,nan,1.440694332,2.93273139,nan,9.211919899,nan,1.484525681,2.719255209,nan,8.580667906,nan,1.484173059,2.719255209,nan
,1-109419,11.50573057,nan,1.973874807,-1.651699185,nan,11.23807917,nan,1.985084295,-1.90375793,nan,10.92752869,nan,1.995199561,-1.924970388,nan
7443-1902,1-38368,10.28653971,40.48491993,1.253633261,5.656683922,0.462942842,9.845327664,39.44580702,1.275658488,5.408014774,0.112267173,9.527880017,38.99195445,1.277406573,5.334229469,0.05240309
7443-12704,1-38470,9.872467152,39.56121,1.309762716,5.78340292,0.104340003,9.575006207,39.21334397,1.272859216,6.122988224,0.046936398,9.293279945,38.87614104,1.266648173,6.223937511,0.02170596
7443-1901,1-38514,9.678741309,38.83861577,1.308492661,4.27449131,0.019442295,9.263123148,38.18346891,1.347840428,4.529121399,0.005265514,8.928706311,37.71979642,1.36033833,3.967817307,0.001844223
7443-3702,1-38293,11.03964247,40.76734153,1.886258006,-1.506259561,0.299577401,10.7967953,40.59839202,1.955284476,-2.016702175,0.202355568,10.53373783,40.35413277,1.984953046,-2.154335022,0.116865169
7443-3704,1-38353,11.12443041,39.26716154,2.001361609,-2.537724495,0.006620361,10.88776548,38.9952246,2.042277813,-2.716030121,0.003591518,10.63189572,38.59625993,2.069750786,-2.678915739,0.001656848
7443-12701,1-109392,11.25131206,39.3202308,1.951090097,-1.228166223,0.016281051,11.03810629,39.13773757,1.971991539,-1.665516734,0.010302862,10.79197031,38.85822344,1.995531201,-1.890537262,0.005783976
7443-3701,1-38461,10.56266814,38.6211674,1.830732107,-0.948627293,0.005569862,10.22490449,38.15959321,1.817506194,-1.203562617,0.00197964,9.910158247,37.82363094,1.817506194,-0.987298548,0.000904338
7443-12705,1-38323,9.719363535,38.56035011,1.743107557,-0.378477991,0.002032988,9.250045401,37.94010807,1.752466559,-0.432818711,0.00067959,8.840125266,37.38568055,1.761308193,-0.444558501,0.000183606
7443-6104,1-38310,9.646694092,38.63359524,1.861062884,-1.377636552,0.002198886,9.224736799,38.36750735,1.86389029,-1.383461952,0.000897456,8.700229255,37.92167184,1.891429186,-1.59838295,0.000341182
7443-6102,1-38486,11.16294149,39.50225745,1.946721554,-1.656602263,0.006409125,10.96076261,39.36174075,1.961256146,-2.016963482,0.002448537,10.76395079,39.22329244,2.004358053,-2.396328449,0.000981755
7443-6103,1-604062,9.984111576,39.92294797,1.333516479,6.357201099,0.103863615,9.521359155,39.07034604,1.351652861,5.767915249,0.024731872,9.119997306,38.62504623,1.358661413,5.434961319,0.010561943
7443-3703,1-604085,10.4983055,39.50348663,1.442046165,3.470494747,0.209590643,10.18006357,38.98192896,1.622112751,1.312614918,0.043654455,9.879589001,38.64788297,1.682103276,0.664238632,0.016834349
7443-9101,1-38348,10.64441756,39.939794,1.34122622,3.870053291,1.058322345,10.27632454,39.60378132,1.34122622,3.267656088,0.500195323,9.912030278,39.25363987,1.343912721,2.979230165,0.232869429
7443-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-9102,1-42253,9.065991696,39.52441013,1.460365295,3.311270475,0.229272066,8.618359917,39.10419235,1.452163935,3.726122618,0.100894821,8.196320465,38.6645007,1.452163935,3.925563812,0.03953023
7443-12703,1-42660,10.31144539,39.9885521,1.459869266,2.496674538,0.300963339,9.989553127,39.32840058,1.715145111,0.360862166,0.036092174,9.683020532,38.99860923,1.758981943,0.101278171,0.011866437
7443-12702,1-603028,10.81520747,40.50371318,1.234497786,5.194833755,3.09475719,10.48405338,39.9738239,1.327974319,3.935020208,1.029434482,10.16945722,39.58163641,1.386926293,3.479827166,0.421506538
7495-6103,1-42680,9.298518267,39.73271696,1.383584023,5.654050827,0.063767963,8.878984903,39.08427404,1.419981956,4.581830978,0.01773804,8.533760413,38.63114022,1.438064098,4.397984982,0.006679625
7495-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-1902,1-42704,9.269523239,39.36934503,1.428070188,3.767903805,0.089992557,8.933297767,38.96720145,1.398597002,3.608106375,0.040556409,8.575852607,38.5324998,1.432502151,3.419801235,0.01456899
7495-3704,1-42646,10.57045091,39.14273277,1.417973518,2.199832678,0.084533098,10.28543211,38.72416446,1.563616276,1.127561927,0.025415842,9.876482188,38.34080262,1.615856051,0.639839888,0.010072012
7495-12705,1-42703,11.05747752,39.83144789,2.081644058,-2.289174318,0.02572998,10.63678146,39.4997557,2.083665848,-2.400970459,0.014781199,10.19555112,39.06693453,2.083265305,-2.439205408,0.006374955
7495-3701,1-41910,9.212207272,40.82903695,1.280140996,5.511511803,0.82258143,8.808567418,40.2760681,1.321803093,4.834200859,0.232504656,8.506431891,39.81345668,1.333085299,4.57532835,0.088418634
7495-3702,1-42615,9.900156582,39.23618858,1.227188945,5.447489738,0.131916585,9.44405091,38.76516082,1.227188945,5.447489738,0.046280272,8.632954597,37.93987426,1.227188945,5.47926712,0.006933941
7495-3703,1-558630,11.49488336,39.43603185,2.000958443,-1.604732037,0.004418607,11.24254758,39.26413803,2.060462475,-2.016150713,0.003354074,10.98448412,39.03523147,2.083961964,-2.084845066,0.00164579
7495-6102,1-42250,11.13623855,39.40512111,1.56269145,2.907583952,0.124294167,10.87083904,39.18253938,1.545928597,3.223578691,0.088064554,10.56891672,38.86969683,1.539401054,3.432402134,0.045157807
7495-9101,1-602964,9.221140149,40.2158788,1.307115078,4.832031727,0.279221245,9.019171716,39.78154081,1.313619137,4.856935978,0.113197389,8.771475501,39.33251502,1.312180042,4.68154335,0.048774791
7495-6104,1-603039,10.35555514,40.76567384,1.368564844,4.104567528,0.704876758,10.09071094,40.67141696,1.30702424,4.788910866,0.493710741,9.729938446,40.40969854,1.282107472,4.979362965,0.248995877
7495-9102,1-42707,9.215049239,37.96539801,1.756100535,-0.001565095,0.000736405,8.891906354,37.59127528,1.794838071,-0.148564398,0.000342017,8.560677679,37.14399999,1.810411692,0.015163666,8.98E-05
7495-6101,1-602993,10.33305992,39.39029303,1.677384734,0.611822903,0.06234725,9.997489619,39.01806245,1.726459742,0.11849539,0.018266401,9.674190358,38.71694569,1.756721735,-0.190505788,0.007407792
7495-12701,1-37908,9.96065639,40.5618219,1.258794785,5.99186945,1.882438638,9.674727949,40.04830645,1.277098179,5.433959961,0.763694874,9.357196168,39.65493602,1.293626904,5.310503006,0.345566952
