plateifu,mangaid,stellarmass_1re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
,1-37198,11.41880708,nan,2.010459423,-2.455089808,nan,11.14170787,nan,2.03718853,-2.875519037,nan,10.65130526,nan,2.04201436,-2.934556961,nan
,1-603795,10.53645252,nan,1.79613781,-0.322071761,nan,10.31250764,nan,1.86178112,-1.07246995,nan,10.07517105,nan,1.884181738,-1.135516167,nan
7443-1902,1-36980,9.920635763,38.14871385,1.604479074,1.097792387,0.005322011,9.382503065,37.65563882,1.589487672,1.112538218,0.002025832,9.061554297,37.34430125,1.595101357,0.951362848,0.001015977
7443-12704,1-603793,11.12126921,39.29732579,1.318523526,5.461157799,0.173369398,10.80121775,38.81765381,1.315281272,5.225382805,0.067012693,10.51200971,38.45721059,1.303678393,5.052817822,0.031372495
7443-1901,1-36927,10.19811258,39.31116323,1.404425979,4.285306454,0.15001646,9.864972578,38.74668417,1.471128225,3.202373743,0.046850064,9.52017186,38.36543981,1.506745934,2.844952345,0.01826217
7443-3702,1-36874,9.456502666,41.59636468,1.205843449,6.013836861,5.568616508,8.970049022,41.14311897,1.197770476,5.943649292,1.990402039,8.747423104,40.90799746,1.197770476,5.943649292,1.169221943
7443-3704,1-36903,10.97039712,39.15155706,1.849098206,-0.992818475,0.005588353,10.68835913,38.96596352,1.914270163,-1.357734442,0.004897543,10.38315867,38.73339168,1.938500166,-1.327514052,0.003187858
7443-12701,1-31295,10.86439959,38.86146025,1.985735178,-2.148620605,0.0031212,10.59338938,38.58405278,2.028787851,-2.364949226,0.001438876,10.30812912,38.29526719,2.037488937,-2.391726494,0.00067138
7443-3701,1-31345,9.760892042,39.95388614,1.221199512,5.694319248,0.092868897,9.449743348,39.64822731,1.219953775,5.729236603,0.048333024,9.080489365,39.31796507,1.212429166,5.804366589,0.022337342
7443-12705,1-287810,11.27868152,40.47903333,1.582973361,2.026179314,0.801824583,11.0211992,40.2352029,1.771551847,-0.028922109,0.304945709,10.82079879,40.0892529,1.703577042,0.872388899,0.262543084
7443-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-6102,1-31189,10.15844937,39.21096605,1.457886815,3.363274574,0.036794698,9.803832696,38.75871748,1.497378469,2.931761742,0.012341342,9.451709814,38.34631253,1.5426898,2.364183903,0.004637986
7443-6103,1-31530,9.392196368,39.49995138,1.307090521,4.744781494,0.083173406,8.991039115,38.97045403,1.322773457,4.629888058,0.028840949,8.579937586,38.50652394,1.329723954,4.509813309,0.010555816
7443-3703,1-31249,10.71410458,39.52178912,1.447309732,2.123002291,0.114970827,10.38924636,39.0996804,1.599485993,0.584508061,0.03380994,10.05089963,38.70433627,1.639372349,0.167798162,0.012189513
7443-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-6101,1-31324,11.03748563,40.01810709,1.379868746,3.451581478,0.285579253,10.7949764,39.82966631,1.510618329,1.959582686,0.101957563,10.54453145,39.63985522,1.63471818,0.923525631,0.041497022
7443-9102,1-31271,9.571638319,40.84051713,1.202419758,5.627409458,1.704795255,9.056675398,40.14314907,1.234982967,5.292971611,0.469280235,8.611583226,39.64413555,1.241947174,5.180795193,0.165663039
7443-12703,1-31444,9.620299418,39.53533603,1.354680419,3.997014046,0.088324286,9.330492453,39.06138214,1.381116271,3.430203676,0.038344654,9.046756229,38.73295304,1.355550766,3.086969376,0.020051381
7443-12702,1-31485,11.06514297,39.97940288,1.823715568,-0.988688111,0.188305005,10.83594353,39.82543763,1.787544966,-1.131240249,0.156865377,10.54076559,39.49897317,1.765186429,-1.057546496,0.09659611
7495-6103,1-31500,10.78989807,39.49447939,1.789569616,-1.102950573,0.025375102,10.49691063,39.27855127,1.909888983,-1.956531644,0.015200485,10.17562701,39.02818526,1.929809332,-2.091957331,0.008756335
7495-1901,1-600853,10.38621836,40.31767675,1.41486609,3.535210848,1.511927518,10.14360276,40.11348856,1.310209513,4.785661697,1.084910129,9.854103508,39.83068624,1.289503694,4.94990778,0.588612733
7495-1902,1-31502,9.431788463,40.38704716,1.237338305,6.165892124,0.302779328,9.06344398,39.99589984,1.248072505,5.761572361,0.122609151,8.691368933,39.61690341,1.247936845,5.451978683,0.049982602
7495-3704,1-30958,10.17307349,38.36058421,1.78826797,-0.466586798,0.000340627,9.864684823,38.0953282,1.808099985,-0.855628788,0.000113559,9.454390195,37.67953146,1.851395845,-1.112420559,3.16E-05
7495-12705,1-31374,10.72653493,nan,1.398393393,2.957381964,1.954498802,10.50081443,40.09859274,1.580503106,0.825931311,0.487231982,10.2164465,39.81527612,1.707942009,0.051674556,0.143941144
