plateifu,mangaid,stellarmass_1re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
7957-12702,1-90685,10.57887272,38.68493393,1.961430311,-2.661674023,0.002284187,10.1135216,38.15134661,1.986413956,-2.821298838,0.000835483,9.556167251,37.57991304,1.986413956,-2.885306835,0.000256779
7957-12704,1-90176,9.039170083,38.62541989,1.700453877,0.469208866,0.000502346,8.625832512,38.16362487,1.682796597,0.669233918,0.000265648,8.275037496,37.81512221,1.672735453,0.773706079,0.00011368
7962-1901,1-91016,10.25277112,39.23269355,1.494606733,2.691047192,0.043168939,9.922028453,38.89027543,1.578117967,2.075095654,0.016483692,9.548877113,38.58514936,1.591499686,1.905585527,0.007885434
7962-12702,1-90242,#NAME?,#NAME?,nan,nan,0,#NAME?,#NAME?,nan,nan,0,#NAME?,#NAME?,nan,nan,0
7962-1902,1-593985,9.195624264,41.08469127,1.243125916,6.257140636,0.868879816,8.73409998,40.88598921,1.214915037,6.265001774,0.41376067,8.390249736,40.70562777,1.181379318,6.199259758,0.22924941
7962-3703,1-90244,10.92606666,40.53495081,1.450979948,3.838607311,0.674364058,10.7500277,39.94429772,1.865404129,-0.380967319,0.078280897,10.51466715,39.70029395,1.947307587,-0.976882815,0.037876925
7962-3704,1-90986,9.661703115,39.21012606,1.395756245,3.577658415,0.079714178,9.198942585,38.6360514,1.438874602,3.351723194,0.023518279,8.801763542,38.19059215,1.44782269,3.457828045,0.008703852
7962-9101,1-90231,11.24254426,41.01235794,1.325606704,4.435628891,4.841132415,11.0965419,40.87390475,1.340257525,1.675635338,2.334960129,10.93299515,40.74862427,1.283071041,0.190314412,1.317705293
7962-3701,1-91010,11.04398548,39.54978886,1.738427043,0.59368521,0.105249129,10.6935895,39.18762898,1.846480966,-0.779061079,0.026465914,10.32929405,38.79822096,1.883727312,-1.268151879,0.009137379
7962-3702,1-90984,8.823982517,39.54516026,1.633790851,0.821548879,0.005931835,8.435385871,39.24863064,1.637298584,0.686292529,0.000801135,8.093898519,38.95339993,1.636432528,0.693635046,5.22E-05
7962-12701,1-632698,10.59761987,38.76717415,1.995379448,-1.576558709,0.002073808,10.28268047,38.454021,2.013277054,-2.158435822,0.001104489,9.830821303,37.87173654,2.019584179,-2.362702131,0.000397175
7962-6101,1-90213,10.95411644,40.07308982,1.90991807,0.01521468,0.123076825,10.56607458,39.65335024,1.924288988,-0.178932279,0.050256248,10.21429158,39.32320257,1.924288988,-0.121495143,0.021241669
7962-6104,1-91019,10.0574463,40.56181622,1.157580137,6.897781372,0.995524361,9.682574186,40.1399062,1.151863933,7.066322803,0.395592756,9.345946651,39.78548612,1.15018189,7.134198666,0.178477991
