MANGAID,plateifu,identified_mangaid,stellarmass_1.0re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Feb-31,8562-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Feb-40,8721-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oct-40,9499-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jan-50,8479-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jan-50,8480-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jan-50,8953-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jan-50,9051-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jan-50,8587-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Feb-50,8479-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Feb-50,8480-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Feb-50,8953-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Feb-50,9051-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Feb-50,8587-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mar-50,8479-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mar-50,8480-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mar-50,8953-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mar-50,9051-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mar-50,8587-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Apr-50,8479-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Apr-50,8480-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Apr-50,8953-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Apr-50,9051-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Apr-50,8587-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
May-50,8479-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
May-50,8480-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
May-50,8953-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
May-50,9051-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
May-50,8587-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jun-50,8479-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jun-50,8480-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jun-50,8953-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jun-50,9051-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jun-50,8587-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jul-50,8479-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jul-50,8480-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jul-50,8953-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jul-50,9051-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jul-50,8587-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Aug-50,8479-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Aug-50,8480-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Aug-50,8953-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Aug-50,9051-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Aug-50,8587-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sep-50,8479-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sep-50,8480-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sep-50,8953-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sep-50,9051-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sep-50,8587-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oct-50,8479-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oct-50,8480-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oct-50,8953-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oct-50,9051-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oct-50,8587-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nov-50,8479-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nov-50,8480-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nov-50,8953-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nov-50,9051-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nov-50,8587-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dec-50,8479-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dec-50,8480-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dec-50,8953-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dec-50,9051-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dec-50,8587-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jan-51,9673-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Feb-51,9673-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mar-51,9673-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Apr-51,9673-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
May-51,9673-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jun-51,9673-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jul-51,9673-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Aug-51,9673-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sep-51,9673-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oct-51,9673-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nov-51,9673-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dec-51,9673-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jan-52,9677-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Feb-52,9677-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mar-52,9677-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Apr-52,9677-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
May-52,9677-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jun-52,9677-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jul-52,9677-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Aug-52,9677-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sep-52,9677-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jun-54,12082-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nov-54,11025-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Apr-59,10519-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Feb-61,11841-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jul-61,11842-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dec-61,11843-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6316000,11986-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6316001,11986-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6316002,11986-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6316003,11986-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6316004,11986-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6316005,11986-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528000,11987-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528001,11987-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528002,11987-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528003,11987-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528004,11987-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528005,11987-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528006,11987-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528007,11987-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528008,11987-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528009,11987-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528010,11987-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528011,11987-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0-6528012,11987-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-1009,11866-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-10166,12514-9101,1-10166,11.27790518,39.60399286,1.429281354,4.247080326,0.303963629,10.98000879,39.23755446,1.533766985,2.440560341,0.098231186,10.67369827,38.93184433,1.589270115,1.817829967,0.036861495
1-10177,12514-3704,1-10177,10.12657143,38.33091119,1.834845662,-0.750862241,0.001203339,9.604140602,37.83529803,1.855299115,-0.728943408,0.000399721,9.181149073,37.36734504,1.855299115,-0.689349473,0.000144642
1-10263,12514-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-1033,11866-9101,1-1033,8.986292552,41.75162459,1.350263596,5.025699615,8.92542649,8.512680149,41.21321558,1.363048911,3.992314339,2.89350586,8.129943977,40.85907365,1.364054203,3.912959337,1.217068863
1-1033,10843-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-1037,10843-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-10375,12510-1902,1-10375,9.471499606,39.98547436,1.27787447,4.780014992,0.555156769,9.03787,39.38217859,1.286168456,4.602087975,0.150207309,8.775466862,39.13084673,1.288840532,4.602087975,0.085286348
1-1038,11866-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-10425,11024-12701,1-10425,11.31572117,39.20449398,1.911512852,-0.169810057,0.031597052,11.05002573,38.84335453,1.941596746,-0.982006371,0.011676274,10.79581657,38.49458252,1.958809018,-1.3209728,0.001669361
1-10550,12514-6104,1-10550,11.20702076,38.5091578,1.960027814,-2.027861834,0.000714618,10.87824195,38.1464739,1.990486264,-2.223600149,0.000213433,10.39065174,37.68456332,2.00371933,-2.268050671,8.47E-05
1-106204,12068-6104,1-106204,11.26296779,39.38494696,1.356856704,3.454450607,0.272613717,10.91127343,38.99797709,1.449588299,1.901430726,0.079672845,10.58573811,38.6766554,1.506638527,1.549592257,0.030982733
1-106251,12069-3704,1-106251,11.25096379,39.82062841,2.036634922,-2.555476904,0.016542315,10.97470171,39.54875328,2.063699722,-2.569662094,0.012095505,10.59529203,39.08959928,2.069849253,-2.557085752,0.005325546
1-106338,12069-6104,1-106338,11.33689747,39.68704885,2.035620689,-2.612732887,0.018645745,11.13389039,39.52280228,2.050621986,-2.78184247,0.01386202,10.8779026,39.27548773,2.083157301,-2.820911169,0.00907031
1-106408,12070-6101,1-106408,10.86969762,39.58627044,1.402326822,4.341481209,0.419905059,10.59310237,39.20801437,1.452269554,3.473646641,0.183893846,10.28768882,38.90286356,1.474071264,3.42861867,0.087560576
1-106411,12070-1901,1-106411,10.56229118,39.27325976,1.556318521,2.616452694,0.097360861,9.979842492,38.71157973,1.584958196,2.508714914,0.025397516,9.718360057,38.47764803,1.584958196,2.494513988,0.014448946
1-106520,12070-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-106630,12071-12705,1-106630,11.21410882,39.51089387,1.529029131,1.902625322,0.082900596,10.99168077,39.28076628,1.688240767,0.162232399,0.026393301,10.78825819,39.12746113,1.774056673,-0.549322009,0.013970471
1-106663,12071-9101,1-106663,9.745346945,39.04530988,1.529580355,2.539747,0.070740083,9.330877593,38.65028408,1.541675568,2.543162823,0.028333829,8.902796506,38.21704884,1.553318739,2.643666267,0.010457153
1-106664,12071-3702,1-106664,10.11500747,40.31088375,1.323901772,6.422478199,0.69750312,9.826394932,40.02578451,1.302403927,6.950339794,0.378449898,9.454893679,39.6762468,1.298771262,7.092708111,0.172216634
1-106670,12071-9102,1-106670,9.110045262,41.31055537,1.26642251,6.096876144,1.764607144,8.819822753,41.21372716,1.210841298,5.853804588,1.316689181,8.497466715,41.01591169,1.196442246,5.533023834,0.814471808
1-106961,8654-12701,1-106961,10.80779175,39.27152657,1.432953596,2.81452322,0.112885739,10.58529092,38.89929625,1.619203806,0.631278872,0.026185106,10.3300485,38.59361604,1.713766575,0.15628849,0.009636608
1-107040,8654-6104,1-107040,11.35249673,39.79618159,2.039717674,-1.277552724,0.001873547,11.11678766,39.62525206,2.029806137,-1.91187644,0.001158278,10.89135784,39.41394407,2.032420874,-1.997855544,0.000979395
1-107452,12769-9101,1-107452,11.22433424,40.02468942,1.948465824,-1.193734884,0.069714955,10.96460914,39.76493484,1.986034274,-2.224347591,0.044954887,10.74232537,39.56588223,2.003017187,-2.297985792,0.028500739
1-107505,12769-6103,1-107505,11.18685416,39.72376809,1.881083488,-1.212192893,0.021365916,10.88396102,39.43165823,1.924032807,-1.366124272,0.015115672,10.56352566,38.96445346,1.947425961,-1.289813161,0.008105135
1-107573,8656-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-10760,12510-3701,1-10760,10.926886,40.68695253,1.220175624,5.543521881,4.726740242,10.58951171,40.16563983,1.238738656,5.305817127,1.84879836,10.09271179,39.62430863,1.250792027,5.150379181,0.554943485
1-107659,8657-3701,1-107659,9.588620127,39.37249224,1.22911799,5.341973782,0.094591919,9.181352801,39.01400914,1.191093564,5.40937376,0.041793716,8.896216687,38.68164276,1.179429054,5.437469959,0.019523153
1-107761,8657-3704,1-107761,9.679007503,40.54330173,1.253559947,5.132077694,1.113789338,9.156758118,40.12116828,1.231554151,5.418243885,0.41466034,8.807411815,39.77465071,1.228872418,5.483016491,0.18538465
1-107835,12073-12704,1-107835,nan,38.02359449,1.667786241,1.728771567,0.00140312,9.550654317,37.77793352,1.745415688,0.459605038,0.000480527,9.239153195,37.54530191,1.776009679,-0.773668468,0.000174267
1-107841,12696-9102,1-107841,10.27113931,37.7000106,1.953643441,-1.632360697,0.000159849,9.88652565,37.35898291,1.961583376,-1.804341078,3.61E-05,9.519755201,36.94144299,1.975066662,-1.896813393,6.30E-06
1-107844,12696-3702,1-107844,11.17900892,39.9351273,1.991802096,-2.059998989,0.02076697,10.87759588,39.61943499,2.054347754,-2.251247406,0.015751591,10.52247208,39.31929154,2.068061113,-2.189064503,0.006713411
1-10786,12510-12703,1-10786,8.90076879,40.88442776,1.317123175,6.04394722,0.800904684,8.548239225,40.36582455,1.335496783,5.748273373,0.269705157,8.16834392,39.88783415,1.339377165,5.509008408,0.099018554
1-107935,12696-9101,1-107935,10.09785758,40.16214201,1.331286192,4.334872723,1.145351038,9.712294082,39.63286834,1.417236209,3.065535307,0.27918162,9.357690585,39.24437418,1.473315597,2.290429831,0.094787149
1-10794,12510-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-10797,12510-6103,1-10797,10.939794,39.67398683,1.82383287,-0.815876603,0.022496325,10.64546864,39.39607456,1.868125558,-1.018082857,0.013473725,10.25350403,39.01055799,1.892771244,-1.105629444,0.0055348
1-10808,11024-3703,1-10808,9.349072236,39.59070404,1.259195805,5.107037544,0.045357933,8.897160576,39.15446587,1.285292149,4.958376884,0.015814479,8.486155262,38.74655757,1.293319106,5.122095585,0.006012949
1-108080,12074-6102,1-108080,11.1448878,39.08414833,2.008423328,-2.163418293,0.005801691,10.87708624,38.76812313,2.010797262,-2.365850925,0.00357054,10.57772405,38.48996406,2.022452354,-2.40796876,0.002014096
1-1081,11866-3701,1-1081,10.10846423,41.25616537,1.321506023,5.373649597,14.76018319,9.675367835,40.75250522,1.331271648,5.047276497,4.94351663,9.309650713,40.32981035,1.332917452,5.034122944,1.889787782
1-108124,12074-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-108127,12772-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-108143,12772-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-108250,12075-12702,1-108250,10.12325173,40.44331007,1.885487676,-0.780469835,0.104406473,9.700882637,40.10652493,1.910212994,-0.782916129,0.032146199,9.167422577,39.65835214,1.910212994,-0.858950555,0.008678356
1-108257,12075-1901,1-108257,10.33922762,38.57830484,1.906296492,-1.450204492,0.004147823,9.851806826,38.06669175,1.888793588,-1.944868207,0.001429725,9.61066521,37.84295763,1.888793588,-1.944868207,0.000673398
1-10850,12510-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-10856,11024-6104,1-10856,10.8973767,39.42346366,1.615525246,1.339294434,0.035423671,10.61096803,39.18686567,1.771307468,-0.299536288,0.008110725,10.26174664,38.89322054,1.789714217,-0.598856509,0.003112951
1-10862,12510-12701,1-10862,9.666959386,40.13604371,1.351811647,5.643546104,0.388554441,9.33267497,39.53150894,1.38621223,4.765211582,0.138269302,9.041843989,39.04142353,1.415329933,4.248866081,0.055284892
1-108696,12081-1902,1-108696,10.15677875,38.48081926,1.896432042,-2.136277914,0.00088082,9.567799455,37.937575,1.909386277,-1.959312916,0.000123115,9.369697019,37.54041403,1.914487958,-2.003070593,6.16E-05
1-108698,12081-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-108741,12079-12704,1-108741,9.545940535,39.6439798,1.234674931,5.44240284,0.070561357,9.219976892,39.02643679,1.256130219,5.293333054,0.021486534,8.959966012,38.63396608,1.287700772,4.635660648,0.009394845
1-108765,12079-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-108881,10223-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-108949,10224-3704,1-108949,10.51628078,39.77763945,1.964066386,-1.838594913,0.032305741,10.21136177,39.45675126,2.006085157,-2.521580219,0.015507422,9.824107498,39.06628776,2.022705793,-2.886165142,0.005968221
1-109056,8077-6103,1-109056,10.42185513,40.44712329,1.499109626,2.159239769,0.233681322,10.08930679,40.1635676,1.621419907,1.220622659,0.081827298,9.65614365,39.76969858,1.659078836,0.833375394,0.02827159
1-109073,8078-12704,1-109073,9.951487573,39.67433065,1.341067672,4.987541676,0.17289356,9.546992034,38.94041327,1.405583382,3.811318636,0.045499558,9.141735664,38.46495201,1.420319319,3.487949371,0.016855779
1-109081,8077-12705,1-109081,10.81440756,39.88549226,1.540640235,2.559640884,0.379285545,10.60248453,39.63792624,1.699860692,0.357135773,0.170682129,10.39301068,39.45695171,1.691738129,0.205736503,0.128644355
1-109112,8078-1901,1-109112,10.09525613,38.7810485,1.81978035,-0.641831517,0.004107111,9.600620582,38.17394015,1.822972178,-0.735104024,0.000938047,9.28978966,37.65351743,1.868071079,-0.809325159,0.000253838
1-109152,8154-12702,1-109152,11.30006706,41.06796576,1.863642573,-0.974095583,0.771702478,11.02470225,40.7140984,1.907572389,-1.284217,0.241307257,10.81312583,40.47721367,1.945970058,-1.72634542,0.140343346
1-109167,8078-1902,1-109167,10.24012924,39.28862356,1.963521123,-1.905344248,0.017035738,9.651630376,38.80968671,1.995097756,-2.046989918,0.005288758,9.392273189,38.58341688,1.999693394,-2.05259943,0.003063251
1-109206,9192-1902,1-109206,9.747932265,40.4567092,1.275771022,5.321005821,1.019886395,9.328521177,39.8583567,1.311026692,5.134155273,0.284693557,8.99876893,39.53442916,1.322825074,5.119692326,0.137435024
1-109223,9192-12702,1-109223,11.21436977,39.34385696,1.87288022,-0.861247182,0.017491493,10.93927054,39.02978416,1.874799252,-1.469954014,0.00736919,10.7254569,38.80797513,1.88608551,-1.502797484,0.003943127
1-109234,9193-1901,1-109234,9.899014696,38.6023387,1.764172912,0.130184025,0.007101199,9.324866891,38.02287851,1.785192966,0.003284062,0.00167941,8.962515219,37.65467784,1.785192966,-0.076653793,0.000736866
1-109244,8080-12702,1-109244,10.86512149,41.21595475,1.538896918,2.420272827,4.660011054,10.65391413,40.87779455,1.55408299,2.478146553,2.198476665,10.43811502,40.52073296,1.636466026,2.256434917,0.894239688
1-109250,8080-1902,1-109250,9.302946135,40.07552213,1.153108001,6.524582863,0.119859145,8.861946197,39.61073933,1.143782377,6.636431694,0.041029723,8.25006243,39.07154732,1.143782377,6.671517372,0.011672248
1-109270,9193-12703,1-109270,9.164945118,39.57230365,1.396832347,3.304573536,0.085041916,8.634201919,39.13965242,1.396915436,3.465624571,0.026270542,8.170126295,38.72664662,1.396915436,3.424637794,0.009370119
1-109275,9192-3703,1-109275,9.967017655,38.81328235,1.374801278,4.029028416,0.053036188,9.553198649,38.34791647,1.372665882,4.032467365,0.021656252,9.118260633,37.89395822,1.371667266,4.032467365,0.008240043
1-109284,8080-6103,1-109284,10.81422175,39.11410774,1.479788423,2.716526031,0.094792718,10.40131703,38.67033938,1.599771976,1.357791066,0.024263196,10.01488879,38.25058276,1.648965359,1.041075587,0.008206941
1-1093,11836-1901,1-1093,9.723552423,39.24815201,1.355402708,4.310354233,0.117119169,9.208024917,38.66377003,1.352189064,3.647149801,0.03537223,8.789314859,38.21313103,1.342432857,3.379233599,0.013076236
1-109308,8082-12704,1-109308,11.37728136,40.34482232,1.591374993,2.153410912,0.924185963,11.0234877,39.96755039,1.756604314,0.623044789,0.22614851,10.71133377,39.64810736,1.826206803,0.299854338,0.085860096
1-109356,8081-3703,1-109356,9.631123635,39.73542402,1.275327563,5.512572765,0.190352761,9.207608047,39.27711606,1.274564981,5.528695107,0.067571839,8.780813366,38.80674053,1.279086351,5.396318913,0.022942898
1-109378,8084-12703,1-109378,10.81127173,41.27509857,1.403171659,4.281721592,7.01520187,10.5676291,41.13664415,1.363270402,3.614242315,4.219437987,10.34832167,40.98763195,1.338308692,3.059535742,2.601104604
1-109392,8085-6101,1-109392,11.25131206,39.3202308,1.951090097,-1.228166223,0.016281051,11.03810629,39.13773757,1.971991539,-1.665516734,0.010302862,10.79197031,38.85822344,1.995531201,-1.890537262,0.005783976
1-109394,8082-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-109419,8085-3702,1-109419,11.50573057,nan,1.973874807,-1.651699185,nan,11.23807917,nan,1.985084295,-1.90375793,nan,10.92752869,nan,1.995199561,-1.924970388,nan
1-109428,8155-3704,1-109428,10.3302706,39.07477379,2.015893221,-2.048835754,0.008555295,9.831769155,38.59434986,2.027727127,-2.123275518,0.002619197,9.000760078,37.74205628,2.011427402,-2.04839468,0.000392585
