MANGAID,plateifu,identified_mangaid,stellarmass_1.0re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
1-605726,8248-3703,1-605726,10.59248743,39.22796109,1.753091812,0.224366218,0.024860021,10.35544832,38.9592432,1.921083689,-1.116819859,0.008382289,10.07211612,38.66667105,1.973159909,-1.383199811,0.004357549
1-605740,11748-3704,1-605740,10.38380974,40.46690002,1.875408769,-1.274742126,0.130759284,10.11986401,40.265122,1.922236919,-1.517834902,0.081608181,9.817572358,39.99539749,1.941867352,-1.698566675,0.044736625
1-605750,11749-6102,1-605750,10.13873529,39.94255537,1.881180048,-0.546807349,0.022883315,9.968201835,39.78527345,1.905872822,-1.056186557,0.016108457,9.80618828,39.65025068,1.948348284,-1.201116681,0.011986554
1-605753,9512-9101,1-605753,10.3728927,39.47902585,1.453472495,3.521850348,0.24396975,9.963498057,39.04020319,1.544837952,2.136467457,0.079705707,9.614043336,38.71183666,1.591712952,1.898842096,0.029993238
1-605770,10506-12702,1-605770,10.15832651,40.33357395,1.412538409,3.446629763,2.074485508,9.819282012,39.82772862,1.526795864,1.642266989,0.357863186,9.571682079,39.47688552,1.632308483,0.797821641,0.107172295
1-605778,10842-9101,1-605778,10.68501191,39.90143014,1.288953662,4.790919304,0.734334109,10.3235294,39.38203367,1.362520337,3.422919035,0.21738956,10.05077198,39.0567691,1.41181767,2.88668561,0.10055597
1-605788,11749-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-605790,10504-6102,1-605790,9.730974743,38.386049,1.857125521,-1.135232568,0.000705175,9.41629258,38.06280865,1.925493121,-1.309178591,0.000136668,9.119835959,37.65371721,1.95458591,-1.646855831,1.32E-05
1-605792,11749-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-605804,10506-1902,1-605804,9.619767737,37.62801728,1.860280633,-1.047230601,0.000442082,9.170862384,37.10842697,1.847550869,-1.029266834,7.12E-05,8.781984187,36.74854885,1.839600444,-0.954829156,7.68E-06
1-605814,10504-12701,1-605814,9.620292627,39.05788921,1.463061333,3.09010458,0.054168462,9.172166163,38.54151485,1.57190156,2.284523487,0.012943949,8.849882924,38.18629571,1.578212738,2.155640364,0.005198503
1-605818,10842-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-605823,10513-3701,1-605823,10.30445638,39.33767219,1.792438745,-0.564670026,0.025318806,9.979055404,39.0612149,1.900884628,-1.336393833,0.011430323,9.638001947,38.75811982,1.910127163,-1.360036254,0.006061704
1-605833,10513-12702,1-605833,10.01258706,39.93001116,1.343925714,5.352649689,0.459825363,9.720282606,39.59064582,1.312298775,5.314814091,0.253118663,9.427818552,39.30699599,1.299066067,5.426164627,0.138033055
1-605863,8439-3701,1-605863,10.53544527,39.412139,1.926521778,-1.334665895,0.015930844,10.22074699,39.09915229,1.989398956,-1.490429521,0.007421441,9.935915222,38.81943045,1.999004722,-1.490429521,0.003439174
1-605877,10841-12701,1-605877,11.10223001,40.41794606,1.474319696,2.0332582,1.212366612,10.85182145,40.18978578,1.677303553,-0.229186907,0.377695573,10.61776132,40.00788693,1.832001805,-0.962437391,0.128341527
1-605884,8439-12703,1-605884,10.43507011,39.58616634,1.392596364,3.887151718,0.344793323,10.05248827,39.09731037,1.439404488,2.812759399,0.114375464,9.757276651,38.82219241,1.436899185,2.395372152,0.064483485
1-605920,11752-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-605957,11752-6104,1-605957,9.929198521,40.17872855,1.269569874,6.143325806,0.322402766,9.582955483,39.71690913,1.278800488,6.080456734,0.131782835,9.261996604,39.39154769,1.278898716,6.089279175,0.065376877
1-605973,8252-9101,1-605973,10.03514226,39.35071055,1.532421589,3.412342548,0.111364554,9.620014497,38.97153261,1.494239569,3.648695707,0.047250989,9.309400418,38.66955852,1.494239569,3.417557001,0.024100788
1-606005,8462-12705,1-606005,10.64958985,39.62220926,1.871977091,-0.862834215,0.079764893,10.33438737,39.24434004,1.970296621,-1.958294511,0.01437272,10.03718539,38.92744179,1.975625873,-2.158983231,0.005954397
